SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_BETAsum	RE_BETAsum_L95	RE_BETAsum_U95	RE_BETAsum_SE	RE_tau2	RE_het	RE_hetP	FE_BETAsum	FE_BETAsum_L95	FE_BETAsum_U95	FE_BETAsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_cMAC	cohort1_cMAF	cohort1_medANDav_Pheno	cohort1_Carriers_AvPheno	cohort1_nonCarriers_AvPheno	cohort1_AvDiff_Pheno	cohort1_Carriers_medianPheno	cohort1_nonCarriers_medianPheno	cohort1_medianDiff_Pheno	cohort1_no_of_carriers	cohort1_P_regression	cohort1_BETA_noOfMutations	cohort1_BETA_L95	cohort1_BETA_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_cMAC	cohort2_cMAF	cohort2_medANDav_Pheno	cohort2_Carriers_AvPheno	cohort2_nonCarriers_AvPheno	cohort2_AvDiff_Pheno	cohort2_Carriers_medianPheno	cohort2_nonCarriers_medianPheno	cohort2_medianDiff_Pheno	cohort2_no_of_carriers	cohort2_P_regression	cohort2_BETA_noOfMutations	cohort2_BETA_L95	cohort2_BETA_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene908	0.222346450592575	NA	-4.997	-10.754	0.761	2.938	0	0.285523857115829	0.593103331082214	-4.997	-10.754	0.761	2.938	0	0.285523857115829	0.593103331082214	0.20960736927263	10	9	29	0.004833	48_48.61	39.842	49.203	-9.361	28	49	-21	19	0.110200157771652	-6.484	-14.416	1.448	-6.484	4.047	NA	0.770715783305559	10	10	38	0.006333	48_48.61	43.581	49.19	-5.609	44	49	-5	31	0.434821473361488	-3.34	-11.71	5.03	-3.34	4.271	NA	1	1361000	1362000	non_coding	-	info908	info908
Gene577	0.222424257166632	NA	0.821	-5.229	6.871	3.087	0	0.653829713388478	0.418746775712187	0.821	-5.229	6.871	3.087	0	0.653829713388478	0.418746775712187	0.696380753551887	10	9	43	0.007167	48_48.61	54.543	47.826	6.716	54	46	8	35	0.470142714650822	2.912	-4.981	10.806	2.912	4.027	NA	0.172466023184261	10	9	28	0.004667	48_48.61	50.261	48.473	1.788	48	48	0	23	0.653765136356669	-2.158	-11.577	7.262	-2.158	4.806	NA	1	864500	865500	protein_coding	+	info577	info577
Gene41	0.223460201707603	NA	1.574	-8.764	11.912	5.274	42.7537755	4.20712688186401	0.0402544639998983	3.087	-1.604	7.779	2.394	42.7537755	4.20712688186401	0.0402544639998983	0.350371033925772	10	6	18	0.003	48_48.61	44.8	48.741	-3.941	49	48	1	10	0.3282184163383	-4.193	-12.584	4.198	-4.193	4.281	NA	0.397126900412221	10	10	47	0.007833	48_48.61	58.13	47.819	10.311	67	47	20	23	0.0274503380934131	6.398	0.739	12.057	6.398	2.887	NA	1	60500	61500	protein_coding	+	info41	info41
Gene1042	0.226384039059876	NA	1.148	-3.041	5.337	2.137	1.49506	1.14352088488258	0.284909574288111	1.317	-2.413	5.046	1.903	1.49506	1.14352088488258	0.284909574288111	0.264685292853411	10	9	39	0.0065	48_48.61	48.929	48.594	0.334	48	48	0	14	0.265458940622684	2.41	-1.824	6.645	2.41	2.16	NA	0.0305396250173176	10	9	23	0.003833	48_48.61	52.846	48.418	4.428	50	48	2	13	0.539375708347595	-2.471	-10.351	5.41	-2.471	4.021	NA	1	1562000	1563000	non_coding	-	info1042	info1042
Gene64	0.226994630564531	NA	0.188	-7.922	8.297	4.137	24.3616115	3.43202172741885	0.0639437786802016	0.835	-3.444	5.113	2.183	24.3616115	3.43202172741885	0.0639437786802016	0.379084677738678	10	10	34	0.005667	48_48.61	39.9	49.232	-9.332	32	48	-16	20	0.227957244210986	-4.224	-11.075	2.628	-4.224	3.496	NA	0.172752133628604	10	10	33	0.0055	48_48.61	54.214	48.336	5.879	50	48	2	14	0.146630632843814	4.068	-1.411	9.548	4.068	2.795	NA	1	95000	96000	non_coding	-	info64	info64
Gene609	0.227357698010795	NA	-6.17	-12.072	-0.267	3.011	0	0.458850766630468	0.498161559191479	-6.17	-12.072	-0.267	3.011	0	0.458850766630468	0.498161559191479	0.339864402228589	10	8	23	0.003833	48_48.61	44.81	48.896	-4.087	33	48	-15	21	0.612785348108021	-2.889	-14.067	8.288	-2.889	5.703	NA	0.234090608524244	10	9	34	0.005667	48_48.61	35.476	49.599	-14.122	31	49	-18	21	0.0368082377938916	-7.438	-14.389	-0.488	-7.438	3.546	NA	1	912500	913500	protein_coding	+	info609	info609
Gene1032	0.227358806724402	NA	-3.44	-11.3	4.42	4.01	9.203034	1.38979280299782	0.238440093351707	-3.218	-9.822	3.386	3.369	9.203034	1.38979280299782	0.238440093351707	0.256494169628167	10	10	29	0.004833	48_48.61	39.222	49.538	-10.316	33	49	-16	27	0.130285611041893	-8.061	-18.474	2.352	-8.061	5.313	NA	0.245106017090303	10	10	33	0.0055	48_48.61	48.296	48.641	-0.345	51	47	4	27	0.992765665733301	0.04	-8.502	8.582	0.04	4.358	NA	1	1547000	1548000	non_coding	-	info1032	info1032
Gene345	0.227703847993265	NA	3.874	-15.956	23.703	10.117	170.0384935	5.6130913334387	0.0178267867416513	-0.949	-7.822	5.924	3.507	170.0384935	5.6130913334387	0.0178267867416513	0.234008052953615	10	10	30	0.005	48_48.61	42.222	49.018	-6.796	38	49	-11	18	0.184548883950376	-5.252	-12.991	2.487	-5.252	3.949	NA	0.326626213439379	10	5	11	0.001833	48_48.61	67.667	48.021	19.646	79	47	32	9	0.0487202942572597	15.09	0.147	30.032	15.09	7.624	NA	1	516500	517500	protein_coding	+	info345	info345
Gene533	0.227730275588349	NA	3.478	-3.77	10.727	3.698	11.961456	1.73321341808478	0.188001034098117	2.98	-2.336	8.297	2.713	11.961456	1.73321341808478	0.188001034098117	0.138561644560342	10	9	20	0.003333	48_48.61	62.692	47.972	14.72	66	47	19	13	0.0881823264424569	7.917	-1.153	16.988	7.917	4.628	NA	0.720126646920088	10	9	23	0.003833	48_48.61	60.5	48.2	12.3	64.5	47.5	17	10	0.905761726677142	0.397	-6.166	6.959	0.397	3.348	NA	1	798500	799500	protein_coding	+	info533	info533
Gene795	0.228450560505551	NA	3.253	-1.635	8.142	2.494	0	0.704790045280834	0.401178835323273	3.253	-1.635	8.142	2.494	0	0.704790045280834	0.401178835323273	0.150394449907208	10	10	38	0.006333	48_48.61	61.111	47.812	13.299	63	47.5	15.5	18	0.123166213728919	4.374	-1.171	9.919	4.374	2.829	NA	0.640518167387817	10	6	25	0.004167	48_48.61	50.571	48.462	2.109	49	48	1	21	0.900777489274163	-0.66	-11.023	9.703	-0.66	5.287	NA	1	1191500	1192500	protein_coding	+	info795	info795
Gene757	0.228918250588194	NA	-5.672	-12.322	0.978	3.393	0	0.0116131726285829	0.91418255833317	-5.672	-12.322	0.978	3.393	0	0.0116131726285829	0.91418255833317	0.0945744492329957	10	8	25	0.004167	48_48.61	43.333	49.007	-5.674	42	48	-6	21	0.323095604875648	-5.235	-15.601	5.131	-5.235	5.289	NA	1	10	8	15	0.0025	48_48.61	32.286	49	-16.714	27	49	-22	7	0.177509313902268	-5.978	-14.646	2.69	-5.978	4.423	NA	1	1134500	1135500	protein_coding	+	info757	info757
Gene283	0.229351404473383	NA	-3.276	-8.714	2.162	2.774	0	0.0920088162284211	0.761638728286922	-3.276	-8.714	2.162	2.774	0	0.0920088162284211	0.761638728286922	0.62336208347443	10	6	23	0.003833	48_48.61	45.136	48.885	-3.749	42.5	48.5	-6	22	0.42198820399456	-4.938	-16.974	7.098	-4.938	6.141	NA	0.107433103906984	10	10	39	0.0065	48_48.61	47.474	48.687	-1.213	39	48	-9	19	0.360198291446067	-2.85	-8.946	3.246	-2.85	3.11	NA	1	423500	424500	protein_coding	+	info283	info283
Gene889	0.229397482736209	NA	-1.414	-6.165	3.338	2.424	0	0.446778040177983	0.503868996254746	-1.414	-6.165	3.338	2.424	0	0.446778040177983	0.503868996254746	0.552275983829474	10	9	39	0.0065	48_48.61	44.522	48.949	-4.428	48	48	0	23	0.376569147542174	-3.06	-9.834	3.713	-3.06	3.456	NA	0.230917841480353	10	5	16	0.002667	48_48.61	49.5	48.598	0.902	45.5	48	-2.5	4	0.957584101093319	0.181	-6.484	6.846	0.181	3.401	NA	1	1332500	1333500	protein_coding	+	info889	info889
Gene150	0.229979437273581	NA	2.613	-3.581	8.807	3.16	5.8582875	1.40365634200982	0.236112337901644	2.433	-2.744	7.61	2.641	5.8582875	1.40365634200982	0.236112337901644	0.766993579349602	10	10	35	0.005833	48_48.61	51.905	48.362	3.543	59	47	12	21	0.969150968203386	-0.132	-6.825	6.561	-0.132	3.415	NA	0.0321539192693524	10	10	41	0.006833	48_48.61	54.417	47.818	6.598	60	45	15	36	0.134700292688507	6.251	-1.917	14.418	6.251	4.167	NA	1	224000	225000	non_coding	-	info150	info150
Gene1178	0.231349179140677	NA	-6.788	-11.896	-1.68	2.606	0	0.0579524188576985	0.809761993757397	-6.788	-11.896	-1.68	2.606	0	0.0579524188576985	0.809761993757397	0.248754437419002	10	10	27	0.0045	48_48.61	32.667	49.628	-16.961	29.5	49	-19.5	18	0.154166085475379	-5.996	-14.222	2.23	-5.996	4.197	NA	0.221036408177736	10	10	44	0.007333	48_48.61	40.933	49.463	-8.53	39.5	48.5	-9	30	0.0292314558216916	-7.285	-13.802	-0.768	-7.285	3.325	NA	1	1766000	1767000	non_coding	-	info1178	info1178
Gene606	0.231811075566699	NA	2.271	-6.026	10.568	4.233	21.2632515	2.45905270838473	0.116849233346754	2.277	-3.014	7.568	2.699	21.2632515	2.45905270838473	0.116849233346754	0.135154727289747	10	9	35	0.005833	48_48.61	56.238	48.036	8.202	51	48	3	21	0.0892757533357716	6.5	-0.973	13.973	6.5	3.813	NA	1	10	8	36	0.006	48_48.61	43.5	49.014	-5.514	44.5	48	-3.5	22	0.607352915704408	-1.966	-9.456	5.525	-1.966	3.822	NA	1	908000	909000	non_coding	-	info606	info606
Gene798	0.232219869723182	NA	4.002	-6.391	14.394	5.302	36.401096	2.74816114832672	0.0973663484647228	2.769	-3.125	8.664	3.007	36.401096	2.74816114832672	0.0973663484647228	0.211290995045407	10	10	41	0.006833	48_48.61	49.148	48.557	0.591	42	48	-6	27	0.8602529949178	-0.642	-7.785	6.5	-0.642	3.644	NA	0.482950229305307	10	6	18	0.003	48_48.61	63.462	47.937	15.524	69	46	23	13	0.0599694782189518	10.056	-0.382	20.494	10.056	5.326	NA	1	1196000	1197000	non_coding	-	info798	info798
Gene1319	0.23324860330775	NA	2.592	-2.978	8.162	2.842	0	0.386065936231185	0.534374595660513	2.592	-2.978	8.162	2.842	0	0.386065936231185	0.534374595660513	1	10	7	22	0.003667	48_48.61	47.133	48.688	-1.554	50	48	2	15	0.996427996294833	0.022	-9.813	9.858	0.022	5.018	NA	0.105789857258877	10	10	37	0.006167	48_48.61	50.64	48.425	2.215	52	48	4	25	0.270665425301298	3.805	-2.952	10.562	3.805	3.448	NA	1	1977500	1978500	protein_coding	+	info1319	info1319
Gene154	0.233637831021216	NA	4.543	-1.112	10.197	2.885	0	0.0236243996166417	0.877844464549629	4.543	-1.112	10.197	2.885	0	0.0236243996166417	0.877844464549629	0.289810790988402	10	8	29	0.004833	48_48.61	63.692	47.927	15.765	67	47	20	13	0.168436014430579	4.851	-2.036	11.739	4.851	3.514	NA	0.596507989830981	10	8	26	0.004333	48_48.61	52.381	48.326	4.055	56	47	9	21	0.440219037788613	3.905	-5.998	13.808	3.905	5.053	NA	1	230000	231000	non_coding	-	info154	info154
Gene1303	0.234593364597288	NA	5.733	-1.235	12.701	3.555	0	0.364893539366674	0.545800969965509	5.733	-1.235	12.701	3.555	0	0.364893539366674	0.545800969965509	0.149984698495173	10	10	32	0.005333	48_48.61	60.65	47.75	12.9	54	45.5	8.5	20	0.0865461685377869	6.663	-0.931	14.256	6.663	3.874	NA	0.571862258998425	10	4	9	0.0015	48_48.61	43.875	48.74	-4.865	29	48	-19	8	0.931180853184727	0.773	-16.765	18.312	0.773	8.948	NA	1	1953500	1954500	protein_coding	+	info1303	info1303
Gene891	0.235635677899325	NA	-5.4	-12.589	1.788	3.667	6.6274845	1.32572248389298	0.249567620290141	-5.464	-11.7	0.773	3.182	6.6274845	1.32572248389298	0.249567620290141	0.0826626468630065	10	9	21	0.0035	48_48.61	26.5	49.692	-23.192	19.5	49	-29.5	14	0.042126321796657	-8.879	-17.405	-0.353	-8.879	4.35	NA	0.437942033537361	10	7	17	0.002833	48_48.61	45.333	48.711	-3.378	37	48	-11	9	0.742591910546408	-1.534	-10.68	7.612	-1.534	4.666	NA	1	1335500	1336500	protein_coding	+	info891	info891
Gene597	0.236190024993526	NA	-0.442	-5.174	4.29	2.414	0	0.641149979938802	0.423294679343984	-0.442	-5.174	4.29	2.414	0	0.641149979938802	0.423294679343984	0.876447899221881	10	10	35	0.005833	48_48.61	54.118	48.279	5.838	46	48	-2	17	0.697542252930951	1.247	-5.036	7.53	1.247	3.206	NA	0.0882293199195716	10	9	40	0.006667	48_48.61	48.68	48.604	0.076	51	48	3	25	0.469869161031439	-2.655	-9.848	4.537	-2.655	3.67	NA	1	894500	895500	protein_coding	+	info597	info597
Gene536	0.236674956269845	NA	3.734	-0.349	7.816	2.083	0	0.213294231424309	0.644197581027148	3.734	-0.349	7.816	2.083	0	0.213294231424309	0.644197581027148	0.0924674095395905	10	9	47	0.007833	48_48.61	57	47.913	9.087	57	46	11	23	0.0726888663665797	4.24	-0.374	8.854	4.24	2.354	NA	0.314249608969925	10	5	25	0.004167	48_48.61	56.733	48.182	8.551	69	47	22	15	0.670283419462212	1.906	-6.859	10.67	1.906	4.472	NA	1	803000	804000	non_coding	-	info536	info536
Gene45	0.239107558159214	NA	-0.118	-4.191	3.955	2.078	0	0.0953544837095081	0.757477310614285	-0.118	-4.191	3.955	2.078	0	0.0953544837095081	0.757477310614285	1	10	7	35	0.005833	48_48.61	43.889	48.911	-5.022	37	48.5	-11.5	18	0.782148887735354	-0.924	-7.464	5.617	-0.924	3.337	NA	0.128477853279155	10	9	43	0.007167	48_48.61	46.211	48.772	-2.562	48	48	0	19	0.882336593881708	0.393	-4.813	5.6	0.393	2.656	NA	1	66500	67500	protein_coding	+	info45	info45
Gene690	0.239469004848208	NA	-0.526	-10	8.947	4.833	35.256853	4.05617042228066	0.0440102001799938	0.045	-4.604	4.694	2.372	35.256853	4.05617042228066	0.0440102001799938	0.182522869250098	10	7	29	0.004833	48_48.61	36.267	49.26	-12.993	26	49	-23	15	0.129798542954439	-5.55	-12.71	1.61	-5.55	3.653	NA	0.816815024494122	10	10	44	0.007333	48_48.61	56.393	47.809	8.584	67	47	20	28	0.187164114201817	4.124	-1.989	10.237	4.124	3.119	NA	1	1034000	1035000	non_coding	-	info690	info690
Gene256	0.239797419806426	NA	3.094	-2.053	8.241	2.626	0	0.120177482252222	0.728842075416406	3.094	-2.053	8.241	2.626	0	0.120177482252222	0.728842075416406	0.168765987508191	10	10	33	0.0055	48_48.61	52.864	48.273	4.59	57.5	47	10.5	22	0.600396572789577	2.071	-5.67	9.813	2.071	3.95	NA	0.0915995678036634	10	8	36	0.006	48_48.61	54.211	48.231	5.979	54	48	6	19	0.267686939866959	3.904	-2.986	10.794	3.904	3.515	NA	1	383000	384000	non_coding	-	info256	info256
Gene833	0.241033655014472	NA	-6.364	-11.81	-0.917	2.779	0	0.0726776696387881	0.787477261948334	-6.364	-11.81	-0.917	2.779	0	0.0726776696387881	0.787477261948334	0.0578669566869058	10	10	39	0.0065	48_48.61	36.13	49.646	-13.516	39	49	-10	23	0.0387219221277461	-6.841	-13.298	-0.384	-6.841	3.295	NA	0.695205202176524	10	10	29	0.004833	48_48.61	43.037	49.161	-6.124	40	49	-9	27	0.3166179497655	-5.188	-15.323	4.948	-5.188	5.171	NA	1	1248500	1249500	protein_coding	+	info833	info833
Gene330	0.24155409666112	NA	-1.211	-8.83	6.409	3.887	0	0.649401410729308	0.420326772136321	-1.211	-8.83	6.409	3.887	0	0.649401410729308	0.420326772136321	0.653985757648583	10	9	31	0.005167	48_48.61	45.867	48.915	-3.048	44	48	-4	30	0.434864726779516	-4.203	-14.739	6.332	-4.203	5.376	NA	0.270748243038616	10	7	28	0.004667	48_48.61	50.926	48.381	2.545	49	48	1	27	0.713434142576074	2.069	-8.961	13.099	2.069	5.628	NA	1	494000	495000	non_coding	-	info330	info330
Gene722	0.241959188875245	NA	0.593	-6.55	7.735	3.644	12.602352	1.89883563667499	0.168208706249803	0.435	-4.733	5.602	2.637	12.602352	1.89883563667499	0.168208706249803	0.40420966844993	10	10	38	0.006333	48_48.61	54.423	48.058	6.365	51	47.5	3.5	26	0.259690500162922	4.417	-3.249	12.084	4.417	3.912	NA	0.367670331964722	10	10	36	0.006	48_48.61	44.476	48.921	-4.445	43	48	-5	21	0.420321507357566	-2.88	-9.875	4.115	-2.88	3.569	NA	1	1082000	1083000	non_coding	-	info722	info722
Gene47	0.242515390220675	NA	4.297	-2.973	11.567	3.709	0	0.0181554676286126	0.892815685607202	4.297	-2.973	11.567	3.709	0	0.0181554676286126	0.892815685607202	0.632656528065244	10	10	29	0.004833	48_48.61	53.192	48.175	5.017	46.5	48	-1.5	26	0.444218608937582	3.842	-5.987	13.671	3.842	5.015	NA	0.264996235615114	10	6	22	0.003667	48_48.61	53.389	48.305	5.084	54	47.5	6.5	18	0.379991098394502	4.846	-5.956	15.647	4.846	5.511	NA	1	69500	70500	protein_coding	+	info47	info47
Gene27	0.243918349128329	NA	4.224	-3.629	12.077	4.007	19.934488	2.63697868465159	0.104401919336404	4.32	-0.513	9.153	2.466	19.934488	2.63697868465159	0.104401919336404	0.340335221321476	10	9	36	0.006	48_48.61	45.542	48.877	-3.335	36	49	-13	24	0.964323880711621	0.159	-6.811	7.129	0.159	3.556	NA	0.0829750788208066	10	10	32	0.005333	48_48.61	60.474	47.808	12.666	54	47	7	19	0.0175566850940471	8.173	1.466	14.88	8.173	3.422	NA	1	39500	40500	protein_coding	+	info27	info27
Gene673	0.243972524962416	NA	-4.1	-8.862	0.663	2.43	1.71514	1.16628641247929	0.280165598689449	-4.155	-8.55	0.24	2.242	1.71514	1.16628641247929	0.280165598689449	0.0495157974244758	10	7	36	0.006	48_48.61	33.562	49.458	-15.895	25.5	49	-23.5	16	0.0356340412674323	-6.22	-11.996	-0.444	-6.22	2.947	NA	0.823704090149044	10	7	29	0.004833	48_48.61	42.062	48.979	-6.916	35.5	48	-12.5	16	0.703900726798659	-1.315	-8.089	5.459	-1.315	3.456	NA	1	1008500	1009500	protein_coding	+	info673	info673
Gene957	0.244180825979109	NA	0.918	-8.818	10.655	4.968	39.15762	4.76754943104477	0.0290010779167114	-0.262	-4.525	4	2.175	39.15762	4.76754943104477	0.0290010779167114	0.237827447551312	10	10	38	0.006333	48_48.61	41.826	49.173	-7.347	33	49	-16	23	0.165860041207287	-3.746	-9.031	1.539	-3.746	2.697	NA	0.837789226703764	10	8	36	0.006	48_48.61	56.095	48.047	8.049	62	47	15	21	0.0922243735529961	6.209	-0.995	13.414	6.209	3.676	NA	1	1434500	1435500	protein_coding	+	info957	info957
Gene484	0.245304940877595	NA	5.818	-0.6	12.236	3.274	0	0.594559540335205	0.440661369245555	5.818	-0.6	12.236	3.274	0	0.594559540335205	0.440661369245555	0.201782377187236	10	10	39	0.0065	48_48.61	50.308	48.449	1.859	50	47.5	2.5	26	0.253557374364062	4.34	-3.096	11.777	4.34	3.794	NA	0.697767094598493	10	4	11	0.001833	48_48.61	60.857	48.317	12.54	66	47	19	7	0.119177209120452	10.132	-2.575	22.839	10.132	6.483	NA	1	725000	726000	non_coding	-	info484	info484
Gene786	0.24537473077864	NA	-2.712	-18.818	13.394	8.217	109.597893	4.83913494640118	0.0278208474967433	2.067	-3.035	7.169	2.603	109.597893	4.83913494640118	0.0278208474967433	0.119951009715859	10	4	14	0.002333	48_48.61	35.083	49.174	-14.09	30.5	49	-18.5	12	0.0814540188299225	-12.268	-26.021	1.485	-12.268	7.017	NA	0.238856925403336	10	9	40	0.006667	48_48.61	56.562	48.162	8.401	60.5	48	12.5	16	0.12137705864919	4.354	-1.139	9.847	4.354	2.803	NA	1	1178000	1179000	non_coding	-	info786	info786
Gene228	0.248396411369493	NA	1.625	-8.086	11.337	4.955	39.0865675	4.90183536632083	0.0268281673719191	1.771	-2.612	6.155	2.236	39.0865675	4.90183536632083	0.0268281673719191	0.43843379600724	10	10	40	0.006667	48_48.61	43.304	49.051	-5.746	37	49	-12	23	0.296997669645649	-3.367	-9.683	2.949	-3.367	3.223	NA	0.36250064697948	10	10	37	0.006167	48_48.61	61.619	47.631	13.988	69	46	23	21	0.0359806924965664	6.543	0.456	12.631	6.543	3.106	NA	1	341000	342000	non_coding	-	info228	info228
Gene97	0.248462562009082	NA	-4.701	-10.715	1.314	3.069	0	0.0444135620879902	0.833086059953616	-4.701	-10.715	1.314	3.069	0	0.0444135620879902	0.833086059953616	0.412957370002181	10	5	21	0.0035	48_48.61	39.667	48.887	-9.22	31	48	-17	9	0.302925916701445	-4.152	-12.038	3.734	-4.152	4.024	NA	0.15862735438789	10	7	29	0.004833	48_48.61	43.522	49.032	-5.511	39	49	-10	23	0.250483420662936	-5.463	-14.761	3.836	-5.463	4.744	NA	1	144500	145500	protein_coding	+	info97	info97
Gene1074	0.249279244423414	NA	-2.226	-12.497	8.044	5.24	35.356458	2.77063621962345	0.0960079945198022	-3.025	-9.041	2.991	3.069	35.356458	2.77063621962345	0.0960079945198022	0.122033852436898	10	10	30	0.005	48_48.61	37.647	49.269	-11.621	42	48	-6	17	0.0723729168468019	-7.035	-14.682	0.611	-7.035	3.902	NA	0.633154853543292	10	9	30	0.005	48_48.61	54.038	48.095	5.944	53	47.5	5.5	26	0.483888448147795	3.484	-6.259	13.227	3.484	4.971	NA	1	1610000	1611000	non_coding	-	info1074	info1074
Gene1169	0.249732249022721	NA	-1.929	-7.493	3.635	2.839	0	0.000462382771910884	0.98284434056683	-1.929	-7.493	3.635	2.839	0	0.000462382771910884	0.98284434056683	0.779278769666706	10	10	30	0.005	48_48.61	39.45	49.264	-9.814	32	49	-17	20	0.587649257704659	-1.978	-9.118	5.163	-1.978	3.643	NA	0.024894094216564	10	8	29	0.004833	48_48.61	42.391	49.126	-6.735	44	48	-4	23	0.682775810373237	-1.853	-10.732	7.026	-1.853	4.53	NA	1	1752500	1753500	protein_coding	+	info1169	info1169
Gene260	0.250089404417618	NA	4.526	-2.177	11.229	3.42	0	0.661154202858962	0.416152761789156	4.526	-2.177	11.229	3.42	0	0.661154202858962	0.416152761789156	0.174556067665997	10	7	29	0.004833	48_48.61	56.444	48.11	8.335	62.5	46.5	16	18	0.121498917970724	6.305	-1.652	14.263	6.305	4.06	NA	0.85161583460588	10	7	14	0.002333	48_48.61	54.818	48.374	6.444	51	48	3	11	0.977386248732794	0.18	-12.255	12.615	0.18	6.345	NA	1	389000	390000	non_coding	-	info260	info260
Gene446	0.250381154534646	NA	-1.146	-14.558	12.266	6.843	63.0281035	2.77240505294337	0.0959019691273806	-3.931	-10.413	2.551	3.307	63.0281035	2.77240505294337	0.0959019691273806	0.127381739300883	10	10	33	0.0055	48_48.61	37.9	49.375	-11.475	36.5	48	-11.5	20	0.0736250829040158	-6.596	-13.798	0.605	-6.596	3.674	NA	0.58149170964574	10	7	7	0.001167	48_48.61	53.75	48.541	5.209	57.5	48	9.5	4	0.327438164325832	7.446	-7.432	22.324	7.446	7.591	NA	1	668000	669000	non_coding	-	info446	info446
Gene120	0.250865010683434	NA	-1.641	-12.257	8.976	5.417	38.836735	2.75000023656729	0.0972544140495769	-3.537	-9.034	1.961	2.805	38.836735	2.75000023656729	0.0972544140495769	0.104785133004708	10	10	41	0.006833	48_48.61	40.708	49.297	-8.589	39	49	-10	24	0.0581245974547363	-6.081	-12.346	0.185	-6.081	3.197	NA	0.541438449009667	10	8	21	0.0035	48_48.61	53.222	48.316	4.907	56.5	48	8.5	18	0.396136913543322	4.967	-6.489	16.423	4.967	5.845	NA	1	179000	180000	non_coding	-	info120	info120
Gene1245	0.252380224994829	NA	0.807	-5.651	7.266	3.295	0	0.00130430671974693	0.971190512888741	0.807	-5.651	7.266	3.295	0	0.00130430671974693	0.971190512888741	0.542939801847334	10	8	15	0.0025	48_48.61	43.4	48.79	-5.39	40.5	48	-7.5	10	0.857422837090096	0.959	-9.499	11.417	0.959	5.336	NA	0.168709503265104	10	10	34	0.005667	48_48.61	46.833	48.764	-1.931	40	48.5	-8.5	24	0.864721941626888	0.714	-7.497	8.925	0.714	4.189	NA	1	1866500	1867500	protein_coding	+	info1245	info1245
Gene248	0.252457188856729	NA	1.576	-3.245	6.397	2.46	0	0.0291212986944073	0.864499265455674	1.576	-3.245	6.397	2.46	0	0.0291212986944073	0.864499265455674	0.323031916582663	10	10	29	0.004833	48_48.61	45.421	48.826	-3.405	44	48	-4	19	0.762695968591872	1.11	-6.09	8.311	1.11	3.674	NA	0.310403779146374	10	10	49	0.008167	48_48.61	55.917	47.614	8.303	51	46.5	4.5	36	0.555559374442038	1.954	-4.535	8.443	1.954	3.311	NA	1	371000	372000	non_coding	-	info248	info248
Gene135	0.253302377952521	NA	6.878	0.773	12.982	3.115	3.25299999999999	1.20138112910864	0.27304580974172	6.886	1.317	12.456	2.842	3.25299999999999	1.20138112910864	0.27304580974172	0.0203677910872568	10	10	23	0.003833	48_48.61	63	47.906	15.094	63.5	47	16.5	14	0.0130985391723034	9.95	2.138	17.763	9.95	3.986	NA	0.370274278238337	10	8	28	0.004667	48_48.61	49.353	48.565	0.788	56	48	8	17	0.359323792452522	3.72	-4.222	11.662	3.72	4.052	NA	1	201500	202500	protein_coding	+	info135	info135
Gene506	0.253711067784175	NA	-1.788	-7.818	4.243	3.077	0	0.0240278269881625	0.876814128242116	-1.788	-7.818	4.243	3.077	0	0.0240278269881625	0.876814128242116	0.573170987495905	10	10	28	0.004667	48_48.61	48.765	48.601	0.164	39	49	-10	17	0.589703499881362	-2.203	-10.199	5.794	-2.203	4.08	NA	0.12011387347567	10	8	26	0.004333	48_48.61	47.524	48.692	-1.168	49	48	1	21	0.791447241354721	-1.24	-10.421	7.942	-1.24	4.685	NA	1	758000	759000	non_coding	-	info506	info506
Gene1066	0.254201685131008	NA	-7.45	-13.339	-1.561	3.004	0	0.000174278080283376	0.989467078907447	-7.45	-13.339	-1.561	3.004	0	0.000174278080283376	0.989467078907447	0.217106340844497	10	8	33	0.0055	48_48.61	37.069	49.845	-12.776	27	49	-22	29	0.100896899556866	-7.495	-16.421	1.431	-7.495	4.554	NA	0.288294570611262	10	8	28	0.004667	48_48.61	36.889	49.358	-12.469	25.5	49	-23.5	18	0.0646616876710856	-7.415	-15.252	0.421	-7.415	3.998	NA	1	1598000	1599000	non_coding	-	info1066	info1066
Gene586	0.25446406361557	NA	1.706	-7.663	11.076	4.78	30.2059255	2.83171427709462	0.0924196589974963	0.418	-4.71	5.545	2.616	30.2059255	2.83171427709462	0.0924196589974963	0.111171624677252	10	9	32	0.005333	48_48.61	50.611	48.482	2.129	43.5	48	-4.5	18	0.437209271492394	-2.422	-8.523	3.679	-2.422	3.113	NA	0.894337752386431	10	7	35	0.005833	48_48.61	54.938	47.854	7.083	53.5	47.5	6	32	0.134498160211817	7.242	-2.216	16.701	7.242	4.826	NA	1	878000	879000	non_coding	-	info586	info586
