SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP
Gene441	0.728963493610432	10	8	20	13	ER	3.33841865541581e-05
Gene442	0.477813229584642	10	8	19	7	ER	0.002108097313783
Gene443	0.512701022057842	10	10	31	25	ER.A	-1
Gene444	0.14930744024627	10	10	25	15	ER.A	-1
Gene445	0.478621182268499	10	8	16	9	ER	0.000290045471298856
Gene446	0.899645376688435	10	7	7	4	ER	0.0120631611819445
Gene447	0.156908620400685	10	10	17	9	ER	0.000982066248439259
Gene448	0.966666034941829	10	7	19	18	ER	5.41843937112443e-07
Gene449	0.68390340204539	10	8	25	13	ER.A	-1
Gene450	0.763894040095027	10	10	16	8	ER	0.00118325149731453
Gene451	0.364656269689687	10	9	22	12	ER.A	-1
Gene452	0.78961445036807	10	9	18	8	ER	0.000708039891558571
Gene453	0.166642175034052	10	6	17	6	ER	0.00744393163432717
Gene454	0.313727104912791	10	8	17	15	ER	1.91220937704851e-06
Gene455	0.750678945380457	10	10	32	20	ER.A	-1
Gene456	0.191520335746796	10	9	21	11	ER.A	-1
Gene457	0.980516031381306	10	8	20	11	ER	0.000138333456896533
Gene458	0.590495748288476	10	10	28	16	ER.A	-1
Gene459	0.0893418945072957	10	9	22	14	ER.A	-1
Gene460	0.0173995308285375	10	7	18	15	ER	5.40464204348918e-06
Gene461	0.195653955319614	10	8	18	13	ER	2.05392863393663e-05
Gene462	0.993558654916889	10	8	25	15	ER.A	-1
Gene463	0.941844560036448	10	8	23	14	ER.A	-1
Gene464	0.250343244261412	10	8	22	13	ER.A	-1
Gene465	0.926120528351721	10	8	22	12	ER.A	-1
Gene466	0.909193805547781	10	7	22	16	ER.A	-1
Gene467	0.213203098431675	10	7	9	6	ER	0.00232588925418721
Gene468	0.140320105583398	10	10	26	13	ER.A	-1
Gene469	0.338449380500201	10	5	9	8	ER	0.000921304549845714
Gene470	0.545114476832625	10	6	21	19	ER.A	-1
Gene471	0.637679746878696	10	5	18	11	ER	9.85391954986954e-05
Gene472	0.825474666849596	10	6	16	10	ER	0.000233820129896237
Gene473	0.161501242037144	10	7	13	6	ER	0.00383651547950158
Gene474	0.474378395835907	10	6	13	9	ER	0.000696186336033224
Gene475	0.0419784412604745	10	10	20	11	ER	7.57600427290345e-05
Gene476	0.169940648838444	10	10	22	14	ER.A	-1
Gene477	0.23716058039788	10	6	16	12	ER	4.35139504704313e-05
Gene478	0.155935088920317	10	7	22	13	ER.A	-1
Gene479	0.566053413336854	10	7	18	11	ER	0.000126411692058997
Gene480	0.78397435685509	10	9	17	10	ER	0.000272910395195208
Gene481	0.611927779823719	10	10	27	20	ER.A	-1
Gene482	0.204636068322457	10	10	26	11	ER.A	-1
Gene483	0.895921392894287	10	9	17	11	ER	4.23393347295593e-05
Gene484	0.78374756992048	10	4	7	4	ER	0.0255615675322584
Gene485	0.218878960104467	10	6	21	13	ER.A	-1
Gene486	0.278757921026666	10	7	25	20	ER.A	-1
Gene487	0.0684206828678081	10	5	10	6	ER	0.00289171771988457
Gene488	0.0705316417711832	10	3	5	4	ER	0.0226389476715047
Gene489	0.0977346333981376	10	6	20	11	ER	0.000139070610212141
Gene490	0.7382922749156	10	9	18	14	ER	1.51852987162948e-05
Gene491	0.581862109415122	10	9	21	12	ER.A	-1
Gene492	0.115476103982646	10	8	24	17	ER.A	-1
Gene493	0.925174938979838	10	7	21	14	ER.A	-1
Gene494	0.598146307179573	10	9	25	18	ER.A	-1
Gene495	0.719249748197148	10	5	17	6	ER	0.00692447168835707
Gene496	0.000652508954746572	10	9	21	14	ER.A	-1
Gene497	0.180080603383373	10	10	24	9	ER.A	-1
Gene498	0.323028160732383	10	6	10	7	ER	0.00147643561089242
Gene499	0.201501380420312	10	10	22	15	ER.A	-1
Gene500	0.502530765380932	10	9	29	16	ER.A	-1
Gene501	0.156478632944503	10	10	21	15	ER.A	-1
Gene502	0.206450922677341	10	9	27	16	ER.A	-1
Gene503	0.157316302026174	10	9	21	9	ER.A	-1
Gene504	0.858231744401378	10	10	22	16	ER.A	-1
Gene505	0.344868532979386	10	7	15	13	ER	1.49791288584315e-05
Gene506	0.666381234798974	10	8	17	13	ER	2.60467313162236e-05
Gene507	0.763110030704756	10	6	13	13	ER	7.9455180454474e-06
Gene508	0.374354616759021	10	8	20	13	ER	1.03978875861772e-05
Gene509	0.669781029630738	10	6	12	9	ER	0.000483640515403133
Gene510	0.467055719438002	10	9	20	10	ER	0.000283112474963976
Gene511	0.833650754545616	10	10	27	14	ER.A	-1
Gene512	0.8819184783905	10	7	20	16	ER	1.60007734223206e-06
Gene513	0.72072856636492	10	6	13	13	ER	1.16330901227667e-05
Gene514	0.0991816575888865	10	6	15	7	ER	0.00182759203541826
Gene515	0.408778528882093	10	8	18	11	ER	9.84225830220776e-05
Gene516	0.591177862589339	10	10	32	20	ER.A	-1
Gene517	0.959774033208067	10	9	20	17	ER	1.07608254201502e-06
Gene518	0.921404760604468	10	10	25	20	ER.A	-1
Gene519	0.714532310999173	10	8	23	13	ER.A	-1
Gene520	0.313537145080811	10	8	24	9	ER.A	-1
Gene521	0.274057163048743	10	10	17	9	ER	0.000438770350442748
Gene522	0.427043472917838	10	6	13	11	ER	9.17483113583102e-05
Gene523	0.390404222827536	10	10	29	27	ER.A	-1
Gene524	0.28664608792422	10	9	23	16	ER.A	-1
Gene525	0.648213793792658	10	6	15	11	ER	0.000137583914224243
Gene526	0.281156885584955	10	9	23	15	ER.A	-1
Gene527	0.0464597507742576	10	10	34	15	ER.A	-1
Gene528	0.200084280140451	10	8	29	15	ER.A	-1
Gene529	0.0134715386186599	10	8	20	16	ER	1.55728634465177e-06
Gene530	0.241314450205295	10	8	23	16	ER.A	-1
Gene531	0.816470458145573	10	7	16	13	ER	3.10235867601339e-05
Gene532	0.60143787583578	10	10	19	9	ER	0.000852506838421814
Gene533	0.952518782267825	10	9	16	6	ER	0.00301418222200288
Gene534	0.467018672368478	10	8	19	14	ER	4.7852074120017e-06
Gene535	0.25755873124468	10	10	31	20	ER.A	-1
Gene536	0.0921332642459234	10	5	18	11	ER	3.77161854920409e-05
Gene537	0.441264346376015	10	9	15	11	ER	9.63707711650714e-05
Gene538	0.0170324643230446	10	10	19	12	ER	1.92431527114895e-05
Gene539	0.703018952358006	10	8	14	11	ER	6.3606225742597e-05
Gene540	0.546588377166611	10	10	30	7	ER.A	-1
Gene541	0.812546286216862	10	7	19	15	ER	2.63023189327487e-06
Gene542	0.385303978748587	10	7	15	11	ER	7.30636005046466e-05
Gene543	0.961859437602498	10	8	23	13	ER.A	-1
Gene544	0.202092562698717	10	8	24	14	ER.A	-1
Gene545	0.715011946595062	10	3	7	7	ER	0.00188538843843005
Gene546	0.84402020408481	10	7	20	9	ER	0.000469569057044747
Gene547	0.202893476263592	10	9	17	13	ER	1.42109613609029e-05
Gene548	0.376192115045915	10	4	12	9	ER	0.000616185891532805
Gene549	0.95876487100978	10	10	17	14	ER	2.57532080738985e-06
Gene550	0.236192701922951	10	6	14	14	ER	1.24350531023759e-05
Gene551	0.170697813017018	10	7	16	9	ER	0.000848311093851451
Gene552	0.256056939790676	10	8	21	12	ER.A	-1
Gene553	0.240809720692356	10	9	22	15	ER.A	-1
Gene554	0.334633224547657	10	10	29	23	ER.A	-1
Gene555	0.506615264323225	10	10	23	14	ER.A	-1
Gene556	0.280534647890277	10	9	32	12	ER.A	-1
Gene557	0.643484358411206	10	7	15	13	ER	2.02573170291558e-05
Gene558	0.555973905346007	10	9	19	17	ER	2.10285587651047e-07
Gene559	0.961176842023556	10	10	33	12	ER.A	-1
Gene560	0.167180140707858	10	10	29	17	ER.A	-1
Gene561	0.757324840234566	10	5	12	9	ER	0.00030038396734763
Gene562	0.544328229177671	10	3	8	8	ER	0.00122268667535389
Gene563	0.0797565052463353	10	8	18	6	ER	0.0051846546195326
Gene564	0.179263505364198	10	9	23	14	ER.A	-1
Gene565	0.761869284383235	10	9	21	8	ER.A	-1
Gene566	0.39776782530499	10	10	28	20	ER.A	-1
Gene567	0.376616537693544	10	10	29	11	ER.A	-1
Gene568	0.616294162047245	10	10	28	12	ER.A	-1
Gene569	0.149850160266226	10	8	21	17	ER.A	-1
Gene570	0.111132319243701	10	8	17	14	ER	3.38157904288023e-06
Gene571	0.932949311980314	10	6	10	3	ER	0.0322977185891493
Gene572	0.769429012378213	10	9	26	15	ER.A	-1
Gene573	0.537614642974623	10	7	21	10	ER.A	-1
Gene574	0.389182128686424	10	9	27	16	ER.A	-1
Gene575	0.680359662728334	10	5	10	8	ER	0.000774945138601263
Gene576	0.768431191154959	10	5	15	10	ER	0.000135029628879588
Gene577	0.583570050927297	10	9	20	16	ER	1.26864732785688e-06
Gene578	0.695127445254257	10	10	33	17	ER.A	-1
Gene579	0.39366531296338	10	8	16	13	ER	1.37368293303127e-05
Gene580	0.967068189680626	10	9	28	19	ER.A	-1
Gene581	0.946158415235836	10	8	9	5	ER	0.0102569480563564
Gene582	0.438163571719888	10	6	11	9	ER	0.000498101579546522
Gene583	0.0873907344727764	10	10	27	13	ER.A	-1
Gene584	0.562785603086848	10	7	18	10	ER	0.000162026517606928
Gene585	0.30703707209653	10	10	26	13	ER.A	-1
Gene586	0.749180182920011	10	7	23	21	ER.A	-1
Gene587	0.397103176350879	10	9	25	19	ER.A	-1
Gene588	0.579244903579878	10	10	26	18	ER.A	-1
Gene589	0.222710110008198	10	7	13	8	ER	0.000946274931696153
Gene590	0.345671159523487	10	3	9	6	ER	0.00469285173848388
Gene591	0.776692982868065	10	3	12	12	ER	6.39346697246449e-05
Gene592	0.731102787039522	10	6	17	15	ER	1.30098125641106e-06
Gene593	0.690839770614999	10	6	21	10	ER.A	-1
Gene594	0.522596073606798	10	10	29	16	ER.A	-1
Gene595	0.0448385762303639	10	10	24	19	ER.A	-1
Gene596	0.762018314448553	10	10	26	13	ER.A	-1
Gene597	0.965314156116485	10	9	26	16	ER.A	-1
Gene598	0.807299143459433	10	7	21	8	ER.A	-1
Gene599	0.0691028903175118	10	4	6	6	ER	0.0065462000431846
Gene600	0.858210623336849	10	9	28	22	ER.A	-1
Gene601	0.174480897091602	10	5	11	5	ER	0.0139695197113371
Gene602	0.0438071060750149	10	8	12	10	ER	0.000329740506128712
Gene603	0.185453556074527	10	8	23	12	ER.A	-1
Gene604	0.176857104453041	10	10	24	20	ER.A	-1
Gene605	0.808216424141296	10	10	24	11	ER.A	-1
Gene606	0.0643513439940426	10	8	23	14	ER.A	-1
Gene607	0.456323417360559	10	4	9	6	ER	0.00613368754928223
Gene608	0.53366355572829	10	7	19	12	ER	3.69045999873424e-05
Gene609	0.00775374969295106	10	9	25	15	ER.A	-1
Gene610	0.718775457571412	10	10	29	25	ER.A	-1
Gene611	0.71231270883756	10	8	23	14	ER.A	-1
Gene612	0.57161663628887	10	6	13	13	ER	1.91917792743207e-05
Gene613	0.415553177511673	10	9	26	14	ER.A	-1
Gene614	0.356129130203046	10	6	14	7	ER	0.00259104385379332
Gene615	0.982915543582852	10	10	30	10	ER.A	-1
Gene616	0.684126490708645	10	7	20	14	ER	8.89375423435689e-06
Gene617	0.516843817678618	10	8	29	22	ER.A	-1
Gene618	0.288269495877503	10	7	13	9	ER	0.000330699337857894
Gene619	0.166062547304974	10	9	17	12	ER	5.22259922412517e-05
Gene620	0.896488257772179	10	10	23	17	ER.A	-1
Gene621	0.930115357714419	10	9	25	15	ER.A	-1
Gene622	0.167557067727568	10	9	27	15	ER.A	-1
Gene623	0.911984524963754	10	8	18	11	ER	0.000103456409871474
Gene624	0.614547840241516	10	9	24	10	ER.A	-1
Gene625	0.992327813596626	10	7	20	9	ER	0.000401972533265395
Gene626	0.16922639914693	10	8	19	16	ER	2.47299078072551e-06
Gene627	0.35371064988709	10	7	16	11	ER	0.000133567728156886
Gene628	0.585655557677492	10	10	33	17	ER.A	-1
Gene629	0.767245857403227	10	9	20	17	ER	9.33435121147882e-07
Gene630	0.808891004533317	10	7	23	14	ER.A	-1
Gene631	0.414726490509404	10	8	23	11	ER.A	-1
Gene632	0.586882098642625	10	8	28	17	ER.A	-1
Gene633	0.123520782856751	10	9	27	9	ER.A	-1
Gene634	0.314504968645974	10	7	19	13	ER	3.39954617370779e-05
Gene635	0.344915876149324	10	7	19	14	ER	4.65279733102989e-06
Gene636	0.698599127951491	10	3	7	4	ER	0.0256377948958507
Gene637	0.449907977868072	10	9	24	16	ER.A	-1
Gene638	0.590927345536267	10	9	17	13	ER	2.32603027746824e-05
Gene639	0.843852332450343	10	8	24	15	ER.A	-1
Gene640	0.443512883721506	10	10	28	15	ER.A	-1
Gene641	0.733454902499864	10	10	23	17	ER.A	-1
Gene642	0.109966316948121	10	9	28	16	ER.A	-1
Gene643	0.806109810583091	10	5	15	7	ER	0.00234637175824852
Gene644	0.569058309522306	10	6	19	14	ER	8.94989655512716e-06
Gene645	0.418358884309625	10	5	11	5	ER	0.0117614426468923
Gene646	0.304433077069874	10	9	13	6	ER	0.008230711321034
Gene647	0.290667283262119	10	8	16	12	ER	3.24626437705497e-05
Gene648	0.238914925549815	10	6	12	9	ER	0.000309242930076273
Gene649	0.693145850498414	10	7	14	6	ER	0.00618875302308322
Gene650	0.876113635989355	10	6	10	5	ER	0.00849074102645921
Gene651	0.976851757975981	10	7	18	7	ER	0.00140000412930086
Gene652	0.88115552643579	10	8	16	9	ER	0.000571692715965362
Gene653	0.797172292257512	10	7	23	15	ER.A	-1
Gene654	0.35579267024891	10	8	23	20	ER.A	-1
Gene655	0.037791540949274	10	8	27	15	ER.A	-1
Gene656	0.149212513191428	10	9	22	15	ER.A	-1
Gene657	0.494993367825168	10	8	15	14	ER	7.25688864614432e-06
Gene658	0.355575272611595	10	10	34	17	ER.A	-1
Gene659	0.874033570477056	10	10	38	20	ER.A	-1
Gene660	0.741819080236231	10	10	16	7	ER	0.00136865041941573
Gene661	0.712179834893254	10	5	10	8	ER	0.000716424650715455
Gene662	0.204043278668882	10	7	11	6	ER	0.00307098512456564
Gene663	0.75849021304068	10	2	4	2	ER	0.08009891638238
Gene664	0.635778700644646	10	9	14	9	ER	0.000241509167439544
Gene665	0.798139242676832	10	6	14	14	ER	5.58006323422231e-06
Gene666	0.204785736535835	10	9	17	16	ER	1.39704722784187e-06
Gene667	0.284173101020245	10	8	19	10	ER	0.00029445339259297
Gene668	0.575822936578385	10	5	8	5	ER	0.0110547932741307
Gene669	0.0913765433242713	10	9	25	19	ER.A	-1
Gene670	0.581070500837741	10	8	20	16	ER	2.72459351217271e-06
Gene671	0.94381253239617	10	8	19	10	ER	0.000221193053624043
Gene672	0.906361093786171	10	6	19	12	ER	1.95835889001705e-05
Gene673	0.628710788605561	10	7	21	10	ER.A	-1
Gene674	0.775942041712302	10	9	18	11	ER	7.8862117613093e-05
Gene675	0.734405599428429	10	5	12	8	ER	0.000664139610902698
Gene676	0.600932079363742	10	8	25	17	ER.A	-1
Gene677	0.0682150550277008	10	8	17	12	ER	2.31575404257388e-05
Gene678	0.89580979113004	10	6	20	14	ER	7.31831849641302e-06
Gene679	0.635224433019036	10	9	24	15	ER.A	-1
Gene680	0.823674083201745	10	10	20	7	ER	0.00283061406111038
Gene681	0.327719119944186	10	9	21	15	ER.A	-1
Gene682	0.700271464708728	10	10	26	21	ER.A	-1
Gene683	0.902921136866065	10	5	14	5	ER	0.00899488249604514
Gene684	0.226832226968168	10	6	8	7	ER	0.00238741946766108
Gene685	0.602435210818187	10	7	20	10	ER	0.000184837601352834
Gene686	0.017917047195153	10	10	27	14	ER.A	-1
Gene687	0.404646484553719	10	9	22	19	ER.A	-1
Gene688	0.763943235949633	10	7	15	12	ER	6.24079040971892e-05
Gene689	0.71327951458296	10	10	21	12	ER.A	-1
Gene690	0.0213766500219833	10	10	28	18	ER.A	-1
Gene691	0.670162687553438	10	9	20	12	ER	7.92461852176039e-05
Gene692	0.693735867782754	10	3	8	8	ER	0.00110612372771726
Gene693	0.442655137444488	10	5	12	12	ER	7.10576395166653e-05
Gene694	0.996869779275675	10	10	29	18	ER.A	-1
Gene695	0.958684858537567	10	5	14	14	ER	9.82525860043984e-06
Gene696	0.481075667501527	10	6	17	10	ER	0.000435984412829126
Gene697	0.413457561992382	10	5	17	12	ER	2.23696229960804e-05
Gene698	0.814841428989127	10	10	25	18	ER.A	-1
Gene699	0.752877835335121	10	9	22	19	ER.A	-1
Gene700	0.369403324826247	10	6	18	17	ER	7.33087867322506e-07
Gene701	0.0775521220796821	10	8	17	15	ER	1.75360054719331e-06
Gene702	0.603207392614146	10	8	23	12	ER.A	-1
Gene703	0.887168813258977	10	8	20	15	ER	3.04635248950591e-06
Gene704	0.989515460186806	10	10	32	19	ER.A	-1
Gene705	0.195623052945359	10	4	7	5	ER	0.00871306588088551
Gene706	0.689906755675847	10	8	20	17	ER	6.39382714925902e-07
Gene707	0.0612941148041845	10	10	22	18	ER.A	-1
Gene708	0.90196363522469	10	10	32	17	ER.A	-1
Gene709	0.881443617412111	10	6	16	7	ER	0.00191203939186356
Gene710	0.0955161620421964	10	8	15	11	ER	0.000132423268279625
Gene711	0.149257718506518	10	3	6	6	ER	0.00246306048353357
Gene712	0.0589034062437796	10	10	30	26	ER.A	-1
Gene713	0.446381519762424	10	9	20	10	ER	0.000281304092457387
Gene714	0.225839732689037	10	6	20	12	ER	3.03028693153276e-05
Gene715	0.439643430673757	10	8	19	10	ER	0.000241249526925572
Gene716	0.802995334012825	10	9	26	18	ER.A	-1
Gene717	0.802070816080037	10	9	24	19	ER.A	-1
Gene718	0.664393411659827	10	9	26	22	ER.A	-1
Gene719	0.833463018847514	10	10	30	18	ER.A	-1
Gene720	0.959451113686773	10	7	16	12	ER	3.38891911602238e-05
Gene721	0.575616481418786	10	7	16	5	ER	0.0100198499804509
Gene722	0.291487104539783	10	10	24	14	ER.A	-1
Gene723	0.978442977103212	10	5	10	8	ER	0.00118491141645071
Gene724	0.6877311905308	10	10	21	9	ER.A	-1
Gene725	0.917452073453965	10	10	29	10	ER.A	-1
Gene726	0.709885362363472	10	7	13	11	ER	0.000145999387230391
Gene727	0.844406835256826	10	9	31	20	ER.A	-1
Gene728	0.21570466207066	10	10	28	13	ER.A	-1
Gene729	0.670766846077833	10	10	30	14	ER.A	-1
Gene730	0.193963006872819	10	6	13	9	ER	0.000640186016410031
Gene731	0.401330323199238	10	8	16	14	ER	9.94874189517062e-06
Gene732	0.443778451658358	10	10	35	19	ER.A	-1
Gene733	0.552066510523797	10	10	16	5	ER	0.0116725470475999
Gene734	0.234129917506269	10	10	31	16	ER.A	-1
Gene735	0.597107207938398	10	10	26	17	ER.A	-1
Gene736	0.237654505135234	10	7	16	10	ER	0.000165723322319466
Gene737	0.501489376199949	10	8	23	19	ER.A	-1
Gene738	0.152186622814184	10	7	8	3	ER	0.0455756248649043
Gene739	0.596238657965026	10	9	14	9	ER	0.000264391473470957
Gene740	0.701950918439543	10	7	23	20	ER.A	-1
Gene741	0.991906979968713	10	7	15	13	ER	2.36094449919691e-05
Gene742	0.564756297790702	10	8	17	15	ER	6.19878851508579e-06
Gene743	0.215350357054911	10	8	20	14	ER	7.98350432735433e-06
Gene744	0.975131612882509	10	10	19	8	ER	0.00145345395672388
Gene745	0.741547568377487	10	4	14	10	ER	0.000203419768235153
Gene746	0.722281727246595	10	5	11	11	ER	0.000127912624202592
Gene747	0.549144525585163	10	9	19	16	ER	2.21716194496807e-06
Gene748	0.478281425983632	10	7	17	16	ER	3.81831948302424e-06
Gene749	0.934916701060965	10	9	32	27	ER.A	-1
Gene750	0.533463354673185	10	9	22	15	ER.A	-1
Gene751	0.880321363185783	10	9	20	13	ER	1.56946063371013e-05
Gene752	0.496230956921053	10	9	29	22	ER.A	-1
Gene753	0.166069957175222	10	9	26	17	ER.A	-1
Gene754	0.0854955046013414	10	10	24	15	ER.A	-1
Gene755	0.856435199579302	10	7	13	11	ER	0.000176627123697803
Gene756	0.841662270601081	10	8	18	13	ER	1.3419005138622e-05
Gene757	0.254697288200579	10	8	10	5	ER	0.00697583905882531
Gene758	0.898592409953482	10	10	28	20	ER.A	-1
Gene759	0.659357896108229	10	8	19	11	ER	0.000100577023280678
Gene760	0.543304238671492	10	10	30	20	ER.A	-1
Gene761	0.666983885903794	10	9	14	10	ER	0.000104515073907423
Gene762	0.588511883040947	10	9	21	14	ER.A	-1
Gene763	0.663549969683785	10	9	27	12	ER.A	-1
Gene764	0.0420438841428451	10	5	14	14	ER	5.60055558072511e-06
Gene765	0.877316936611094	10	6	15	15	ER	3.43493558372883e-06
Gene766	0.628080304786326	10	10	18	13	ER	9.93127517302603e-06
Gene767	0.636903978705092	10	8	20	9	ER	0.000519217787146603
Gene768	0.988729659414014	10	10	23	14	ER.A	-1
Gene769	0.494686625594491	10	6	17	7	ER	0.00225692898105622
Gene770	0.591009354930139	10	9	26	17	ER.A	-1
Gene771	0.722511812516829	10	5	16	10	ER	0.000172287297676414
Gene772	0.897468069040054	10	8	17	13	ER	2.58627349868458e-05
Gene773	0.645611861096605	10	9	19	13	ER	2.13476264367136e-05
Gene774	0.29425113347923	10	6	14	10	ER	0.000353903196965371
Gene775	0.588771288239852	10	4	14	12	ER	2.71342889074003e-05
Gene776	0.0506506159156072	10	9	32	14	ER.A	-1
Gene777	0.0976301959409121	10	10	38	23	ER.A	-1
Gene778	0.1003786918215	10	6	17	14	ER	6.34862305517421e-06
Gene779	0.667328167982347	10	8	28	12	ER.A	-1
Gene780	0.718631045473617	10	9	21	18	ER.A	-1
Gene781	0.277962454528987	10	9	31	22	ER.A	-1
Gene782	0.00438320529755438	10	4	14	10	ER	0.000314425921475018
Gene783	0.973134585165911	10	5	11	8	ER	0.000801616724640318
Gene784	0.808165879751335	10	10	26	15	ER.A	-1
Gene785	0.0396098161383358	10	8	21	11	ER.A	-1
Gene786	0.119796563907282	10	9	27	10	ER.A	-1
Gene787	0.740567300601413	10	5	17	14	ER	5.73093612584329e-06
Gene788	0.605899538587104	10	10	25	17	ER.A	-1
Gene789	0.618091272892493	10	6	16	14	ER	4.58895246339458e-06
Gene790	0.810782015532662	10	9	27	21	ER.A	-1
Gene791	0.587699151081728	10	8	20	9	ER	0.000372568549320739
Gene792	0.335355054874482	10	10	23	16	ER.A	-1
Gene793	0.425690073774579	10	10	13	7	ER	0.00163394459929575
Gene794	0.852918784094703	10	9	15	10	ER	0.000204262651187466
Gene795	0.893599490070582	10	6	15	13	ER	1.58073936792223e-05
Gene796	0.337016598307946	10	10	23	14	ER.A	-1
Gene797	0.0247798775725714	10	10	27	16	ER.A	-1
Gene798	0.0618980901578861	10	6	12	9	ER	0.000558917488550933
Gene799	0.0197623564385784	10	8	16	12	ER	5.63054687024959e-05
Gene800	0.813584820794054	10	8	23	17	ER.A	-1
Gene801	0.49076660769103	10	10	17	13	ER	2.43251417440397e-05
Gene802	0.824590623735998	10	8	16	6	ER	0.00247024161073431
Gene803	0.93173105773804	10	10	20	12	ER	9.09750530786066e-06
Gene804	0.622146705343851	10	10	24	15	ER.A	-1
Gene805	0.434517180800241	10	7	16	15	ER	6.72928741837947e-06
Gene806	0.154548504140347	10	7	12	9	ER	0.000247174375013723
Gene807	0.948476272744864	10	8	16	7	ER	0.00164968856030677
Gene808	0.123930080711225	10	6	14	11	ER	0.000154754092044425
Gene809	0.351558662587879	10	10	34	20	ER.A	-1
Gene810	0.731715438499104	10	9	25	14	ER.A	-1
Gene811	0.0591915981226265	10	10	28	10	ER.A	-1
Gene812	0.324481930509154	10	10	22	15	ER.A	-1
Gene813	0.112901741106492	10	8	22	11	ER.A	-1
Gene814	0.597534282677737	10	8	14	8	ER	0.00100753704805537
Gene815	0.0734238818069661	10	10	21	15	ER.A	-1
Gene816	0.33339548231221	10	6	16	13	ER	2.90103011877966e-05
Gene817	0.754643782982004	10	9	18	16	ER	8.00538236594193e-07
Gene818	0.287694439478195	10	9	16	8	ER	0.00178362989754347
Gene819	0.468709052142478	10	7	15	10	ER	0.000250970441446115
Gene820	0.0250453417385305	10	8	11	6	ER	0.00259396807339519
Gene821	0.102022988328526	10	8	18	11	ER	0.000132265371102609
Gene822	0.461866989030653	10	9	17	11	ER	8.74659951057612e-05
Gene823	0.513559961500638	10	6	17	14	ER	9.20035049599231e-06
Gene824	0.973935423633452	10	10	33	21	ER.A	-1
Gene825	0.537295030060284	10	9	25	22	ER.A	-1
Gene826	0.433077431073287	10	10	34	19	ER.A	-1
Gene827	0.089706853792957	10	9	17	9	ER	0.00107680403662095
Gene828	0.556073477261047	10	5	16	10	ER	0.000289209798471009
Gene829	0.503466181036346	10	7	18	13	ER	1.97779531746683e-05
Gene830	0.869117427913243	10	7	20	12	ER	2.25416109592166e-05
Gene831	0.643935579399912	10	10	16	7	ER	0.00197142713223456
Gene832	0.0523414129866757	10	10	28	17	ER.A	-1
Gene833	0.8177698119078	10	10	19	17	ER	9.42600818688389e-07
Gene834	0.759666162981179	10	10	25	11	ER.A	-1
Gene835	0.443862578410472	10	9	16	12	ER	5.4737352168697e-05
Gene836	0.694330795342688	10	8	19	10	ER	0.000267858113275014
Gene837	0.847011564510831	10	6	11	7	ER	0.0032719479071061
Gene838	0.874570171374959	10	7	13	10	ER	0.00020820080189363
Gene839	0.0723700471331188	10	5	11	7	ER	0.00180688509487782
Gene840	0.490008555299251	10	3	7	6	ER	0.00460947292834707
Gene841	0.774035651695039	10	7	25	12	ER.A	-1
Gene842	0.284489360065693	10	5	12	11	ER	0.000102689522405032
Gene843	0.0791959200992558	10	8	17	14	ER	1.04562058971991e-05
Gene844	0.0934432478634538	10	9	26	15	ER.A	-1
Gene845	0.672368308421873	10	5	11	11	ER	0.000122741781770467
Gene846	0.953398438579006	10	6	16	13	ER	2.37912854548407e-05
Gene847	0.601114789754903	10	5	13	8	ER	0.000845133559327683
Gene848	0.10259601360418	10	7	16	9	ER	0.000551508641280037
Gene849	0.382083535338544	10	9	25	18	ER.A	-1
Gene850	0.799488042493952	10	6	7	5	ER	0.0151907715755303
Gene851	0.327428102397715	10	4	13	6	ER	0.00451476347169901
Gene852	0.614772141179154	10	9	25	11	ER.A	-1
Gene853	0.814532515436042	10	10	30	23	ER.A	-1
Gene854	0.69561425621476	10	9	10	3	ER	0.0380583570305717
Gene855	0.972345047565487	10	10	21	15	ER.A	-1
Gene856	0.755981361180423	10	9	12	7	ER	0.0019448938770914
Gene857	0.833457610155161	10	7	13	11	ER	9.62599460439773e-05
Gene858	0.40428887707461	10	9	11	6	ER	0.0061859078345778
Gene859	0.394904089961136	10	10	27	9	ER.A	-1
Gene860	0.371786088835279	10	10	16	10	ER	0.000166436995254296
Gene861	0.241418422935386	10	8	19	12	ER	6.11346438367554e-05
Gene862	0.436301295406756	10	9	17	13	ER	1.28351025249733e-05
Gene863	0.380700921404458	10	7	19	12	ER	3.27719140507837e-05
Gene864	0.64009685302785	10	7	12	9	ER	0.000254681049238499
Gene865	0.981570711769681	10	9	28	23	ER.A	-1
Gene866	0.147789821591013	10	9	25	14	ER.A	-1
Gene867	0.377959021628857	10	10	20	14	ER	6.1596552655845e-06
Gene868	0.435620092597467	10	8	19	6	ER	0.00727269982142789
Gene869	0.780982759530838	10	3	7	7	ER	0.00150982570823848
Gene870	0.964846301642193	10	6	11	7	ER	0.00213280298225591
Gene871	0.812221221004912	10	7	16	7	ER	0.00372808074518282
Gene872	0.417422350968651	10	7	16	10	ER	0.000267698693717367
Gene873	0.715148811995282	10	7	11	10	ER	0.000130925382481333
Gene874	0.874682066749942	10	7	17	11	ER	4.41002449180465e-05
Gene875	0.970215757543735	10	9	21	9	ER.A	-1
Gene876	0.970436651706116	10	8	19	16	ER	1.89169595236676e-06
Gene877	0.364250508395684	10	3	6	6	ER	0.006090287480621
Gene878	0.144288130463074	10	9	20	12	ER	7.17045215456612e-05
