SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_ORsum	RE_ORsum_L95	RE_ORsum_U95	RE_ORsum_SE	RE_tau2	RE_het	RE_hetP	FE_ORsum	FE_ORsum_L95	FE_ORsum_U95	FE_ORsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_MAC	cohort1_m	cohort1_Method.bin	cohort1_MAP	cohort1_cases_cMAC	cohort1_cases_cMAF	cohort1_controls_cMAC	cohort1_controls_cMAF	cohort1_no_of_carriers	cohort1_enrichment_ratio	cohort1_P_regression	cohort1_OR_noOfMutations	cohort1_OR_L95	cohort1_OR_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_MAC	cohort2_m	cohort2_Method.bin	cohort2_MAP	cohort2_cases_cMAC	cohort2_cases_cMAF	cohort2_controls_cMAC	cohort2_controls_cMAF	cohort2_no_of_carriers	cohort2_enrichment_ratio	cohort2_P_regression	cohort2_OR_noOfMutations	cohort2_OR_L95	cohort2_OR_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene1264	0.142186763591769	NA	1.304	0.637	2.673	0.366	0.165462	2.60358587938846	0.106622225995884	3.391	2.181	5.272	0.225	0.4028355	4.90410680105638	0.0267929047942912	0.021126674323241	10	9	33	24	ER.A	-1	24	0.008163	9	0.002941	24	2.776	0.0569672579852868	1.918	0.981	3.749	0.651	0.342	NA	0.881659734446423	10	10	30	20	ER.A	-1	14	0.007216	16	0.007767	20	0.929	0.785147192645721	0.922	0.512	1.657	-0.082	0.299	NA	1	1895000	1896000	non_coding	-	info1264	info1264
Gene1069	0.142287834977295	NA	1.33	0.926	1.91	0.185	0	0.0255419686472335	0.873024011801981	2.216	1.542	3.183	0.185	5.0428285	41.2511773251173	1.33871136398511e-10	0.140906644753814	10	10	35	12	ER.A	-1	26	0.008844	9	0.002941	12	3.007	0.179025644333372	1.312	0.883	1.951	0.272	0.202	NA	0.57881498844633	10	5	16	12	ER	1.99477255855935e-05	11	0.00567	5	0.002427	12	2.336	0.441608361680809	1.422	0.58	3.487	0.352	0.458	NA	1	1602500	1603500	protein_coding	+	info1069	info1069
Gene629	0.14529695160699	NA	0.712	0.409	1.242	0.283	0.050647	1.42247728997923	0.232996083327377	1.438	0.916	2.258	0.23	3.8197435	32.8627931031606	9.88980919380822e-09	0.0532627527208445	10	10	41	27	MA	-1	12	0.004082	29	0.009477	27	0.431	0.0460114819325327	0.571	0.329	0.99	-0.561	0.281	NA	0.767245857403227	10	9	20	17	ER	9.33435121147882e-07	10	0.005155	10	0.004854	17	1.062	0.954698814979643	1.023	0.466	2.246	0.023	0.401	NA	1	942500	943500	protein_coding	+	info629	info629
Gene943	0.145985292990833	NA	1.385	0.943	2.034	0.196	0	0.281993477141386	0.595397588222357	3.317	2.259	4.872	0.196	4.1031275	47.9545974709618	4.36206626375224e-12	0.426844494781621	10	10	33	16	ER.A	-1	21	0.007143	12	0.003922	16	1.821	0.289517034916775	1.288	0.806	2.059	0.253	0.239	NA	0.27666101266478	10	9	27	19	ER.A	-1	18	0.009278	9	0.004369	19	2.124	0.165259356852532	1.609	0.822	3.148	0.475	0.343	NA	1	1413500	1414500	protein_coding	+	info943	info943
Gene1175	0.148145099116909	NA	0.686	0.381	1.234	0.3	0	0.783790310556919	0.375984429030245	0.95	0.528	1.709	0.3	1.987991	5.17461870733228	0.0229192010464276	0.493146448970717	10	10	30	21	ER.A	-1	11	0.003741	19	0.006209	21	0.603	0.366056518493679	0.751	0.404	1.397	-0.286	0.317	NA	0.203069624688805	10	9	12	6	ER	0.00372008826206858	1	0.000515	11	0.00534	6	0.096	0.212907323423796	0.317	0.052	1.934	-1.15	0.923	NA	1	1761500	1762500	protein_coding	+	info1175	info1175
Gene269	0.148187066560269	NA	1.321	0.778	2.246	0.271	0	0.391533576806044	0.531494388326158	4.559	2.683	7.748	0.271	1.519598	11.1736199214683	0.000829685881599707	0.458490763338578	10	10	23	21	ER.A	-1	14	0.004762	9	0.002941	21	1.619	0.250879931031571	1.606	0.715	3.608	0.474	0.413	NA	0.0502608148819644	10	9	24	19	ER.A	-1	13	0.006701	11	0.00534	19	1.255	0.712615301610327	1.141	0.566	2.301	0.132	0.358	NA	1	402500	403500	protein_coding	+	info269	info269
Gene136	0.148482991605201	NA	1.364	0.927	2.007	0.197	0	0.262297992164545	0.608545780819934	4.727	3.213	6.955	0.197	2.42712	30.7149853085211	2.98848148450048e-08	0.818921725660766	10	10	28	21	ER.A	-1	16	0.005442	12	0.003922	21	1.388	0.559454736258992	1.202	0.648	2.232	0.184	0.316	NA	0.0694047091306076	10	10	38	20	ER.A	-1	26	0.013402	12	0.005825	20	2.301	0.121692423765647	1.478	0.901	2.424	0.391	0.252	NA	1	203000	204000	non_coding	-	info136	info136
Gene250	0.148896028019204	NA	1.427	0.904	2.25	0.233	0	0.319249514456374	0.572059008675631	4.53	2.872	7.145	0.233	1.5891685	15.5586912308989	7.99831095616987e-05	0.174467606631396	10	9	33	29	ER.A	-1	21	0.007143	12	0.003922	29	1.821	0.148584310042524	1.649	0.837	3.251	0.5	0.346	NA	0.349376259350904	10	9	26	18	ER.A	-1	15	0.007732	11	0.00534	18	1.448	0.451114616381537	1.267	0.685	2.343	0.236	0.314	NA	1	374000	375000	non_coding	-	info250	info250
Gene60	0.149048056853109	NA	1.463	0.873	2.454	0.264	0	0.0285707678992607	0.865773912185894	7.158	4.269	12.002	0.264	3.135687	21.7166112803166	3.16042736514532e-06	0.650217032304128	10	5	23	23	ER.A	-1	13	0.004422	10	0.003268	23	1.353	0.465735366589569	1.379	0.581	3.271	0.321	0.441	NA	0.0371585697813742	10	7	18	7	ER	0.00124346928192465	13	0.006701	5	0.002427	7	2.761	0.208402316098101	1.513	0.794	2.885	0.414	0.329	NA	1	89000	90000	non_coding	-	info60	info60
Gene524	0.149445113263993	NA	1.026	0.674	1.563	0.215	0	0.276244097348347	0.599173602558255	2.06	1.352	3.137	0.215	1.278692	13.9020058925617	0.000192592817546133	0.165847776278083	10	9	34	24	ER.A	-1	18	0.006122	16	0.005229	24	1.171	0.677779422895923	1.119	0.659	1.9	0.112	0.27	NA	0.28664608792422	10	9	23	16	ER.A	-1	10	0.005155	13	0.006311	16	0.817	0.729908229338026	0.885	0.442	1.772	-0.122	0.354	NA	1	785000	786000	non_coding	-	info524	info524
Gene401	0.149635255474876	NA	0.732	0.503	1.066	0.192	0	0.0113868950821511	0.915019528661114	1.021	0.701	1.486	0.192	2.1364485	15.9753862221724	6.41714084179679e-05	0.192431937768876	10	9	44	20	MA	-1	14	0.004762	30	0.009804	20	0.486	0.145784609525274	0.739	0.491	1.111	-0.303	0.208	NA	0.60930450173332	10	7	17	16	ER	3.05133010677563e-06	7	0.003608	10	0.004854	16	0.743	0.464952977035348	0.698	0.266	1.832	-0.36	0.492	NA	1	600500	601500	protein_coding	+	info401	info401
Gene583	0.149840923819523	NA	1.168	0.705	1.936	0.258	0.050232	1.58049865657412	0.208688880667196	3.142	2.121	4.654	0.201	0.4966675	6.73966428798428	0.00942923676442187	0.260679403095883	10	9	27	18	ER.A	-1	18	0.006122	9	0.002941	18	2.082	0.163696684126752	1.586	0.829	3.034	0.461	0.331	NA	0.0873907344727764	10	10	27	13	ER.A	-1	13	0.006701	14	0.006796	13	0.986	0.806077443571229	0.94	0.573	1.541	-0.062	0.252	NA	1	873500	874500	protein_coding	+	info583	info583
Gene46	0.150822086547382	NA	1.484	0.921	2.392	0.244	0	0.0905534371396433	0.763474750474997	4.185	2.597	6.746	0.244	6.4144675	46.3790687144949	9.74509362094977e-12	0.343538131691684	10	9	24	10	ER.A	-1	17	0.005782	7	0.002288	10	2.527	0.23350054770293	1.415	0.799	2.504	0.347	0.291	NA	0.429494144324351	10	9	16	11	ER	0.000134247607569199	11	0.00567	5	0.002427	11	2.336	0.254107503857385	1.66	0.695	3.968	0.507	0.445	NA	1	68000	69000	non_coding	-	info46	info46
Gene1132	0.151737518245747	NA	0.695	0.445	1.086	0.227	0	0.366257523340126	0.54505133937836	1.439	0.922	2.247	0.227	0.897023	9.50218473058149	0.00205227394036023	0.609267459129337	10	8	22	12	ER.A	-1	8	0.002721	14	0.004575	12	0.595	0.418261968573681	0.784	0.435	1.414	-0.244	0.301	NA	0.0777367949604555	10	10	28	19	ER.A	-1	8	0.004124	20	0.009709	19	0.425	0.132670188754837	0.593	0.301	1.172	-0.522	0.347	NA	1	1697000	1698000	non_coding	-	info1132	info1132
Gene139	0.152715131922148	NA	0.696	0.439	1.104	0.235	0	0.59018771419045	0.442346539986291	0.916	0.578	1.453	0.235	1.697097	6.83353212727854	0.00894621806423657	0.319603626056479	10	9	38	25	ER.A	-1	13	0.004422	25	0.00817	25	0.541	0.228041423982564	0.741	0.455	1.206	-0.3	0.249	NA	0.34122512447842	10	6	9	7	ER	0.0023910423203501	2	0.001031	7	0.003398	7	0.303	0.219127219628649	0.412	0.1	1.694	-0.886	0.721	NA	1	207500	208500	protein_coding	+	info139	info139
Gene1205	0.152748111250833	NA	1.152	0.509	2.605	0.416	0.236685	3.00926169596849	0.0827899923146511	2.724	1.78	4.168	0.217	9.6371475	82.8114850123518	0	0.135321283907658	10	8	34	19	ER.A	-1	13	0.004422	21	0.006863	19	0.644	0.39581266495141	0.805	0.488	1.328	-0.217	0.255	NA	0.152441087710128	10	7	16	8	ER	0.00104534438998529	12	0.006186	4	0.001942	8	3.185	0.130830470346556	1.868	0.831	4.2	0.625	0.413	NA	1	1806500	1807500	protein_coding	+	info1205	info1205
Gene467	0.15431916353545	NA	0.772	0.459	1.299	0.266	0	0.879378495586339	0.348371960949732	0.974	0.579	1.639	0.266	2.490215	5.40607986524575	0.0200667302836406	0.119791139026613	10	10	33	21	ER.A	-1	14	0.004762	19	0.006209	21	0.767	0.484720161837017	0.825	0.482	1.414	-0.192	0.275	NA	0.213203098431675	10	7	9	6	ER	0.00232588925418721	1	0.000515	8	0.003883	6	0.133	0.247085386279235	0.305	0.041	2.28	-1.189	1.027	NA	1	699500	700500	protein_coding	+	info467	info467
Gene1191	0.155034929210443	NA	1.018	0.376	2.754	0.508	0.3888595	3.93787067187465	0.0472104994921687	2.088	1.316	3.312	0.235	0.247831	2.87238688133211	0.0901111370246609	0.118843470855051	10	8	29	13	ER.A	-1	21	0.007143	8	0.002614	13	2.733	0.0904200159839807	1.609	0.928	2.792	0.476	0.281	NA	0.216362921508783	10	9	18	12	ER	8.76824066082229e-05	5	0.002577	13	0.006311	12	0.408	0.205456242617495	0.58	0.249	1.348	-0.545	0.431	NA	1	1785500	1786500	protein_coding	+	info1191	info1191
Gene1294	0.15521243094286	NA	1.024	0.661	1.588	0.224	0	0.175801313308628	0.675006635911541	1.874	1.209	2.904	0.224	1.7297645	15.0576401079254	0.000104277304706191	0.217339681326903	10	10	32	17	ER.A	-1	17	0.005782	15	0.004902	17	1.18	0.753271732490805	1.086	0.648	1.822	0.083	0.264	NA	0.150145092295406	10	9	20	17	ER	7.29068230842034e-07	9	0.004639	11	0.00534	17	0.869	0.764983959052412	0.882	0.387	2.008	-0.125	0.42	NA	1	1940000	1941000	non_coding	-	info1294	info1294
Gene1159	0.155458803984055	NA	0.75	0.473	1.189	0.235	0	0.054635306472287	0.815185306221976	1.27	0.801	2.014	0.235	3.0791755	20.0210523064568	7.65942495972727e-06	0.115722180680889	10	10	29	13	ER.A	-1	7	0.002381	22	0.00719	13	0.331	0.233385710520571	0.729	0.433	1.226	-0.317	0.266	NA	0.731132636964494	10	6	12	9	ER	0.000539013935198018	5	0.002577	7	0.003398	9	0.758	0.71436173271295	0.832	0.311	2.229	-0.184	0.503	NA	1	1737500	1738500	protein_coding	+	info1159	info1159
Gene945	0.155657551883639	NA	1.218	0.809	1.833	0.209	0	0.213510688836104	0.644029567953496	2.654	1.763	3.995	0.209	4.0390705	39.3759667458432	3.49573148206161e-10	0.258259819714875	10	9	43	31	MA	-1	23	0.007823	20	0.006536	31	1.197	0.587184518014317	1.144	0.703	1.862	0.135	0.248	NA	0.0833052048060522	10	10	18	11	ER	0.000146081869876197	12	0.006186	6	0.002913	11	2.124	0.367918624546	1.415	0.665	3.014	0.347	0.386	NA	1	1416500	1417500	protein_coding	+	info945	info945
Gene697	0.157983379740615	NA	0.996	0.522	1.9	0.329	0.1219455	2.02585122715514	0.154642250887957	1.618	1.119	2.339	0.188	7.7774655	66.4269532482281	3.33066907387547e-16	0.077642836675975	10	10	41	21	MA	-1	13	0.004422	28	0.00915	21	0.483	0.243349430449805	0.785	0.522	1.179	-0.242	0.208	NA	0.413457561992382	10	5	17	12	ER	2.23696229960804e-05	11	0.00567	6	0.002913	12	1.946	0.305151536154627	1.572	0.662	3.732	0.452	0.441	NA	1	1044500	1045500	protein_coding	+	info697	info697
Gene177	0.158810055557957	NA	0.862	0.309	2.409	0.524	0.4684245	6.58472626257809	0.010285743171179	1.65	1.164	2.339	0.178	0.1228485	2.46464423673041	0.116434062681124	0.13982110403605	10	10	39	12	ER.A	-1	29	0.009864	10	0.003268	12	3.018	0.10151557648877	1.402	0.936	2.101	0.338	0.206	NA	0.0603920075445248	10	10	29	18	ER.A	-1	7	0.003608	22	0.01068	18	0.338	0.0440509672546209	0.49	0.245	0.981	-0.713	0.354	NA	1	264500	265500	protein_coding	+	info177	info177
Gene481	0.159596097551785	NA	1.491	0.894	2.489	0.261	0	0.191166528163162	0.661947494600261	6.004	3.597	10.02	0.261	2.0567105	15.4844887812161	8.31850864146944e-05	0.241614830339679	10	8	17	8	ER	0.00110505481405072	13	0.004422	4	0.001307	8	3.383	0.19001662245433	1.715	0.765	3.843	0.539	0.412	NA	0.611927779823719	10	10	27	20	ER.A	-1	16	0.008247	11	0.00534	20	1.544	0.365517085203223	1.358	0.7	2.636	0.306	0.338	NA	1	720500	721500	protein_coding	+	info481	info481
Gene332	0.159892808323476	NA	0.68	0.423	1.095	0.243	0	0.00580023302616249	0.939292393579732	1.576	0.979	2.537	0.243	1.3066595	12.0722126893338	0.000511789222943371	0.212522526873783	10	10	29	23	ER.A	-1	11	0.003741	18	0.005882	23	0.636	0.278745829917879	0.693	0.356	1.346	-0.367	0.339	NA	0.30285649781148	10	7	27	19	ER.A	-1	9	0.004639	18	0.008738	19	0.531	0.245550879252724	0.668	0.337	1.321	-0.404	0.348	NA	1	497000	498000	non_coding	-	info332	info332
Gene968	0.16118908542922	NA	0.873	0.538	1.418	0.247	0	0.135725820240515	0.712567651239099	1.962	1.208	3.186	0.247	2.7292395	21.740083971351	3.1219937179916e-06	0.0185652729997302	10	8	27	19	ER.A	-1	11	0.003741	16	0.005229	19	0.715	0.51015425672657	0.815	0.443	1.499	-0.205	0.311	NA	0.985126399480432	10	6	16	11	ER	0.000142118212915803	8	0.004124	8	0.003883	11	1.062	0.96805125110175	0.984	0.443	2.187	-0.016	0.408	NA	1	1451000	1452000	non_coding	-	info968	info968
Gene733	0.161381650938664	NA	0.627	0.263	1.492	0.443	0.2786455	3.20526771899695	0.0734014949517674	2.497	1.673	3.729	0.205	2.804266	23.1936377414338	1.46481146889865e-06	0.0311298415067949	10	8	26	22	ER.A	-1	6	0.002041	20	0.006536	22	0.312	0.0255025957696726	0.368	0.153	0.885	-0.999	0.447	NA	0.552066510523797	10	10	16	5	ER	0.0116725470475999	7	0.003608	9	0.004369	5	0.826	0.666907480803956	0.906	0.577	1.422	-0.099	0.23	NA	1	1098500	1099500	protein_coding	+	info733	info733
Gene338	0.162827592427784	NA	0.682	0.429	1.086	0.237	0	0.0704748884673411	0.79064659413854	1.299	0.816	2.067	0.237	1.336722	11.8132844194032	0.000588095964786262	0.336647877735923	10	8	30	18	ER.A	-1	11	0.003741	19	0.006209	18	0.603	0.253203845689592	0.715	0.402	1.271	-0.336	0.294	NA	0.313201295331541	10	8	21	16	ER.A	-1	7	0.003608	14	0.006796	16	0.531	0.242742245828498	0.626	0.285	1.373	-0.468	0.401	NA	1	506000	507000	non_coding	-	info338	info338
Gene473	0.16286672264282	NA	1.187	0.48	2.933	0.462	0.2430465	2.20571937413805	0.137499737891221	4.567	2.617	7.97	0.284	19.204872	96.2726587226781	0	0.262471892060105	10	8	27	20	ER.A	-1	11	0.003741	16	0.005229	20	0.715	0.539328660579384	0.815	0.423	1.567	-0.205	0.334	NA	0.161501242037144	10	7	13	6	ER	0.00383651547950158	11	0.00567	2	0.000971	6	5.839	0.17124895813114	2.092	0.727	6.025	0.738	0.54	NA	1	708500	709500	protein_coding	+	info473	info473
Gene584	0.16381982113964	NA	1.395	0.941	2.066	0.201	0	0.00583821751921365	0.939094322637617	3.193	2.155	4.731	0.201	2.5412265	29.9770177199024	4.37197481550911e-08	0.311733361687793	10	10	39	24	ER.A	-1	25	0.008503	14	0.004575	24	1.859	0.168724692507873	1.41	0.864	2.301	0.344	0.25	NA	0.562785603086848	10	7	18	10	ER	0.000162026517606928	11	0.00567	7	0.003398	10	1.669	0.352744904853108	1.366	0.708	2.637	0.312	0.336	NA	1	875000	876000	non_coding	-	info584	info584
Gene419	0.164673638652697	NA	0.932	0.542	1.603	0.277	0	0.0277473521958966	0.867704178796806	3.766	2.189	6.477	0.277	1.6483575	8.69927718159207	0.00318336258116392	0.492244637238125	10	6	11	10	ER	0.000427945993960192	5	0.001701	6	0.001961	10	0.867	0.787999559466154	0.857	0.279	2.634	-0.154	0.573	NA	0.0688308077149891	10	9	19	13	ER	1.34458281425622e-05	9	0.004639	10	0.004854	13	0.956	0.886687852358855	0.956	0.515	1.776	-0.045	0.316	NA	1	627500	628500	protein_coding	+	info419	info419
Gene68	0.165775873434042	NA	0.588	0.312	1.11	0.324	0	0.039471399024267	0.842517683342119	1.092	0.579	2.059	0.324	2.587788	10.0794322433964	0.00149933525587465	0.340842819378137	10	9	28	24	ER.A	-1	10	0.003401	18	0.005882	24	0.578	0.184687790423274	0.61	0.294	1.266	-0.494	0.372	NA	0.160114219447461	10	5	11	11	ER	0.000139128349067545	4	0.002062	7	0.003398	11	0.607	0.326967190634778	0.525	0.145	1.903	-0.644	0.657	NA	1	101000	102000	non_coding	-	info68	info68
Gene1162	0.165878165267997	NA	0.633	0.19	2.111	0.615	0.488672	2.3229591367109	0.127477314897659	1.107	0.67	1.83	0.256	0.50976	2.38004970518006	0.122893636673246	0.427534266200033	10	9	32	22	ER.A	-1	15	0.005102	17	0.005556	22	0.918	0.914763821319142	0.971	0.572	1.651	-0.029	0.27	NA	0.0313813687201787	10	9	16	7	ER	0.00225566770117005	1	0.000515	15	0.007282	7	0.071	0.100812608950433	0.262	0.053	1.297	-1.339	0.816	NA	1	1742000	1743000	non_coding	-	info1162	info1162
Gene174	0.16591326382398	NA	0.594	0.314	1.124	0.325	0	0.335754177611973	0.562290304271209	1.97	1.041	3.729	0.325	2.4253995	11.7079291847862	0.000622343383328006	0.175237704106797	10	6	17	16	ER	2.36577221977383e-06	5	0.001701	12	0.003922	16	0.434	0.150682943663561	0.465	0.164	1.321	-0.766	0.533	NA	0.501068917889768	10	6	17	10	ER	0.000138580858359254	5	0.002577	12	0.005825	10	0.442	0.360862220806612	0.687	0.307	1.537	-0.376	0.411	NA	1	260000	261000	non_coding	-	info174	info174
Gene79	0.166055528708666	NA	0.773	0.555	1.078	0.169	0	0.000610739975570402	0.980283762992406	2.029	1.455	2.828	0.169	0.9178915	14.8418032663279	0.000116915062220224	0.625113652781046	10	9	37	31	ER.A	-1	15	0.005102	22	0.00719	31	0.71	0.403696482549776	0.778	0.431	1.403	-0.251	0.301	NA	0.106840128559598	10	10	29	9	ER.A	-1	8	0.004124	21	0.010194	9	0.405	0.204304561550301	0.771	0.516	1.152	-0.26	0.205	NA	1	117500	118500	protein_coding	+	info79	info79
Gene642	0.166364867671952	NA	0.94	0.417	2.119	0.415	0.256749	3.92754928678122	0.0475011196850914	1.951	1.302	2.923	0.206	0.238731	3.72210123031664	0.0536967572138054	0.305013690198572	10	7	30	17	ER.A	-1	19	0.006463	11	0.003595	17	1.798	0.213698473143803	1.398	0.825	2.369	0.335	0.269	NA	0.109966316948121	10	9	28	16	ER.A	-1	7	0.003608	21	0.010194	16	0.354	0.122841199399764	0.609	0.325	1.143	-0.495	0.321	NA	1	962000	963000	non_coding	-	info642	info642
Gene333	0.166849226941778	NA	0.94	0.499	1.771	0.323	0.142272	3.1224331480998	0.0772213975996556	2.198	1.539	3.14	0.182	3.3546955	51.0458061388133	9.02389274415327e-13	0.165880108992517	10	8	39	20	ER.A	-1	12	0.004082	27	0.008824	20	0.463	0.125741343762458	0.688	0.426	1.11	-0.374	0.244	NA	0.363402182359864	10	10	32	21	ER.A	-1	19	0.009794	13	0.006311	21	1.552	0.317655053697537	1.314	0.769	2.242	0.273	0.273	NA	1	498500	499500	protein_coding	+	info333	info333
Gene587	0.166998628790998	NA	0.94	0.423	2.091	0.408	0.245694	3.71467085055134	0.0539362580354747	1.849	1.258	2.716	0.196	5.6589345	63.525517645239	1.55431223447522e-15	0.0325888290663352	10	10	49	25	MA	-1	11	0.003741	38	0.012418	25	0.301	0.0687493358157927	0.651	0.411	1.033	-0.429	0.236	NA	0.397103176350879	10	9	25	19	ER.A	-1	15	0.007732	10	0.004854	19	1.593	0.269467062050684	1.479	0.738	2.962	0.391	0.354	NA	1	879500	880500	protein_coding	+	info587	info587
Gene432	0.169064272167062	NA	1.275	0.807	2.014	0.233	0	0.821684418308179	0.364688141410953	2.625	1.661	4.148	0.233	1.299713	11.6897479129827	0.000628454129186551	0.206623125009615	10	8	39	29	ER.A	-1	24	0.008163	15	0.004902	29	1.665	0.170185792965514	1.483	0.844	2.604	0.394	0.287	NA	0.324435559228387	10	10	25	23	ER.A	-1	12	0.006186	13	0.006311	23	0.98	0.894255175121622	0.948	0.432	2.08	-0.053	0.401	NA	1	647000	648000	non_coding	-	info432	info432
Gene368	0.171117624086574	NA	0.731	0.295	1.812	0.463	0.3137755	3.72937262150701	0.0534634713582267	1.618	1.015	2.581	0.238	0.1892375	2.64608024355768	0.103805573618653	0.255067609955859	10	10	34	30	ER.A	-1	18	0.006122	16	0.005229	30	1.171	0.669693839331176	1.146	0.613	2.143	0.136	0.319	NA	0.0336179371910036	10	9	30	17	ER.A	-1	6	0.003093	24	0.01165	17	0.265	0.0274804573393699	0.454	0.225	0.916	-0.79	0.358	NA	1	551000	552000	non_coding	-	info368	info368
Gene1099	0.171345870122965	NA	0.749	0.517	1.086	0.189	0	0.00117432072136844	0.972663152496742	2.046	1.412	2.965	0.189	0.96056	12.5102603277313	0.000404723206461233	0.563138948983236	10	8	25	18	ER.A	-1	9	0.003061	16	0.005229	18	0.585	0.411361334575951	0.757	0.389	1.472	-0.279	0.339	NA	0.257370221119934	10	10	35	18	ER.A	-1	12	0.006186	23	0.011165	18	0.554	0.197993647730235	0.746	0.477	1.166	-0.293	0.228	NA	1	1647500	1648500	protein_coding	+	info1099	info1099
Gene1248	0.17286776651673	NA	1.266	0.477	3.361	0.498	0.311838	2.65728468022236	0.10307656100647	3.815	2.123	6.853	0.299	0.231366	2.22961065464865	0.135387960346325	0.0347039857097491	10	10	26	11	ER.A	-1	23	0.007823	3	0.00098	11	7.983	0.105095567328999	2.177	0.85	5.578	0.778	0.48	NA	0.6817257628307	10	8	19	13	ER	1.05212145094452e-05	8	0.004124	11	0.00534	13	0.772	0.561136351822583	0.801	0.379	1.694	-0.222	0.382	NA	1	1871000	1872000	non_coding	-	info1248	info1248
Gene1073	0.174261321362722	NA	1.226	0.597	2.516	0.367	0.189658	3.37905168088309	0.0660300374224421	2.672	1.811	3.945	0.199	0.3611405	5.5301116407426	0.0186919126454518	0.0218344106383961	10	10	44	22	MA	-1	34	0.011565	10	0.003268	22	3.539	0.0365961288014296	1.75	1.036	2.959	0.56	0.268	NA	0.643860570976465	10	8	24	15	ER.A	-1	10	0.005155	14	0.006796	15	0.759	0.555172151065246	0.84	0.471	1.499	-0.174	0.296	NA	1	1608500	1609500	protein_coding	+	info1073	info1073
Gene666	0.174525711369167	NA	0.947	0.645	1.389	0.196	0	0.142879431935593	0.705435082748047	1.364	0.93	2.001	0.196	2.102991	15.5829386515405	7.89639000422504e-05	0.205561945437078	10	8	33	15	ER.A	-1	15	0.005102	18	0.005882	15	0.867	0.914847427098723	0.978	0.644	1.483	-0.023	0.213	NA	0.204785736535835	10	9	17	16	ER	1.39704722784187e-06	8	0.004124	9	0.004369	16	0.944	0.646246602434947	0.797	0.303	2.097	-0.226	0.493	NA	1	998000	999000	non_coding	-	info666	info666
Gene14	0.174585832939352	NA	1.339	0.924	1.942	0.19	0	0.0113103448275862	0.915304578946096	4.103	2.829	5.95	0.19	1.8074875	25.3227922624054	4.84944505108054e-07	0.579477360297186	10	10	34	25	ER.A	-1	20	0.006803	14	0.004575	25	1.487	0.365451957965971	1.308	0.732	2.337	0.268	0.296	NA	0.106793395613128	10	10	29	11	ER.A	-1	21	0.010825	8	0.003883	11	2.788	0.210947342351889	1.361	0.84	2.208	0.309	0.247	NA	1	20000	21000	non_coding	-	info14	info14
Gene815	0.175944477285413	NA	0.689	0.289	1.643	0.444	0.2365525	2.39684259631056	0.121580420162887	1.361	0.81	2.284	0.264	0.3935125	3.32369145192149	0.0682883362342701	0.363165076970456	10	7	29	21	ER.A	-1	14	0.004762	15	0.004902	21	0.971	0.998426334083511	0.999	0.54	1.848	-0.001	0.314	NA	0.0734238818069661	10	10	21	15	ER.A	-1	4	0.002062	17	0.008252	15	0.25	0.0657332563951178	0.406	0.155	1.06	-0.902	0.49	NA	1	1221500	1222500	protein_coding	+	info815	info815
Gene19	0.176185968017966	NA	1.015	0.646	1.594	0.23	0	0.0059876511768734	0.938321318729554	1.705	1.086	2.679	0.23	3.676391	21.8061879941368	3.01625774501435e-06	0.209579906455865	10	8	35	22	ER.A	-1	17	0.005782	18	0.005882	22	0.983	0.929425405595766	1.023	0.621	1.685	0.023	0.255	NA	0.27257113385908	10	6	11	9	ER	0.00028141634598079	5	0.002577	6	0.002913	9	0.885	0.965526269635622	0.977	0.341	2.799	-0.023	0.537	NA	1	27500	28500	protein_coding	+	info19	info19
Gene800	0.17689098886038	NA	1.355	0.894	2.053	0.212	0	0.314194787491195	0.57511743138452	2.914	1.924	4.415	0.212	1.7753815	18.9937618137868	1.31146516154645e-05	0.156379511909204	10	10	36	20	ER.A	-1	26	0.008844	10	0.003268	20	2.706	0.136542743311628	1.478	0.884	2.474	0.391	0.263	NA	0.813584820794054	10	8	23	17	ER.A	-1	12	0.006186	11	0.00534	17	1.158	0.69156155348983	1.153	0.571	2.327	0.142	0.358	NA	1	1199000	1200000	non_coding	-	info800	info800
Gene1006	0.177612289357184	NA	0.82	0.412	1.632	0.351	0.059753	1.32013565569599	0.250567706183959	2.915	1.602	5.304	0.305	5.264953	29.2077750215645	6.50177800487484e-08	0.268875933940896	10	8	22	19	ER.A	-1	7	0.002381	15	0.004902	19	0.486	0.203705502107627	0.581	0.252	1.342	-0.543	0.427	NA	0.072178044924337	10	7	11	8	ER	0.00100470760325591	6	0.003093	5	0.002427	8	1.274	0.715220298097962	1.173	0.498	2.759	0.159	0.437	NA	1	1508000	1509000	non_coding	-	info1006	info1006
