SetID	P.value	N.Marker.All	N.Marker.Test
Gene840	0.0783439398858509	10	8
Gene841	1	10	9
Gene842	1	10	10
Gene843	0.817508668164441	10	10
Gene844	0.661959130274759	10	10
Gene845	0.0607861137419395	10	7
Gene846	0.350221828846337	10	10
Gene847	0.373557493436879	10	10
Gene848	0.773599344113755	10	9
Gene849	0.770702166635782	10	8
Gene850	0.801595809472854	10	10
Gene851	0.597227068549571	10	9
Gene852	0.325926246755342	10	10
Gene853	0.457371261598964	10	9
Gene854	0.56049630113755	10	8
Gene855	0.0274702012829986	10	10
Gene856	0.910157070747908	10	10
Gene857	0.253148817626291	10	8
Gene858	1	10	9
Gene859	0.182554977038542	10	10
Gene860	0.399594030814167	10	9
Gene861	0.718918218705816	10	6
Gene862	0.376603227044432	10	9
Gene863	0.331722661247892	10	7
Gene864	0.0802975662877629	10	7
Gene865	0.0642371375123556	10	10
Gene866	0.885685766553061	10	9
Gene867	0.671380104309498	10	10
Gene868	0.679160265576641	10	10
Gene869	1	10	10
Gene870	0.368940547098537	10	8
Gene871	0.162987941966056	10	8
Gene872	1	10	9
Gene873	0.453222522704059	10	9
Gene874	0.607853916023884	10	10
Gene875	0.757652457741939	10	10
Gene876	0.296612317271202	10	8
Gene877	0.363072688856818	10	10
Gene878	0.888890718948961	10	7
Gene879	0.622149015545371	10	10
Gene880	0.329096141355804	10	10
Gene881	0.337661538203379	10	10
Gene882	0.870515665966578	10	8
Gene883	0.299719258520552	10	9
Gene884	0.488309312689968	10	9
Gene885	0.472313562253851	10	10
Gene886	0.844475073771003	10	7
Gene887	0.78048077993712	10	10
Gene888	0.0980395269802985	10	10
Gene889	0.552275983829474	10	9
Gene890	0.0069552190621851	10	6
Gene891	0.0826626468630065	10	9
Gene892	0.697671263849879	10	5
Gene893	0.186257309758416	10	9
Gene894	0.0921982917253064	10	9
Gene895	0.261903763859568	10	10
Gene896	0.901253892845556	10	10
Gene897	0.655941722708985	10	9
Gene898	0.0932305565216535	10	6
Gene899	0.118213621923946	10	10
Gene900	0.506419924491888	10	8
Gene901	0.88694998075634	10	10
Gene902	0.364586040228485	10	10
Gene903	0.37146958953688	10	10
Gene904	0.583487161952974	10	7
Gene905	0.401796551098231	10	10
Gene906	0.113127234952295	10	10
Gene907	0.558452469879594	10	8
Gene908	0.20960736927263	10	9
Gene909	1	10	10
Gene910	0.222794805841167	10	8
Gene911	1	10	10
Gene912	0.0541021532469662	10	9
Gene913	0.0198979323756121	10	8
Gene914	0.0734772711866517	10	8
Gene915	0.755651763060757	10	8
Gene916	0.731900173436803	10	10
Gene917	0.686890882178234	10	10
Gene918	0.885276487666484	10	9
Gene919	0.00720211832452955	10	8
Gene920	0.468678665055058	10	10
Gene921	0.747440326712465	10	7
Gene922	0.738677976160962	10	10
Gene923	0.128436718570607	10	10
Gene924	0.768050657948907	10	6
Gene925	0.593842456072941	10	10
Gene926	0.863199225808722	10	8
Gene927	0.700223966716588	10	9
Gene928	0.594524218093626	10	10
Gene929	0.407543798018601	10	6
Gene930	0.287081985650483	10	10
Gene931	0.564419654545375	10	10
Gene932	1	10	9
Gene933	0.0422133656286796	10	9
Gene934	0.21420846920384	10	9
Gene935	0.676441630152699	10	10
Gene936	0.160615161425575	10	10
Gene937	0.361139836914002	10	7
Gene938	0.0638393024932716	10	10
Gene939	0.712632510009783	10	7
Gene940	0.348410315520989	10	9
Gene941	0.156427052894999	10	10
Gene942	0.707064031770457	10	9
Gene943	0.637030078077333	10	10
Gene944	0.445141599176557	10	10
Gene945	1	10	9
Gene946	0.0676997240786834	10	10
Gene947	0.894265670727336	10	9
Gene948	1	10	9
Gene949	0.351001700593527	10	7
Gene950	0.159540409739545	10	10
Gene951	0.537413729938869	10	7
Gene952	0.259452274853484	10	10
Gene953	0.678708195341267	10	10
Gene954	1	10	7
Gene955	0.313055920973134	10	3
Gene956	0.760271537326025	10	9
Gene957	0.237827447551312	10	10
Gene958	0.607184257618495	10	10
Gene959	0.457582511442158	10	10
Gene960	0.573264895548202	10	7
Gene961	0.200836358006717	10	10
Gene962	0.31487037425272	10	10
Gene963	0.636699026262166	10	10
Gene964	0.5939541757794	10	10
Gene965	0.264172678977676	10	10
Gene966	0.444797425280697	10	7
Gene967	0.635297687542586	10	9
Gene968	0.547829840889269	10	8
Gene969	0.788786575580733	10	10
Gene970	0.858141378389855	10	7
Gene971	1	10	6
Gene972	0.614421092400654	10	8
Gene973	0.903138640933792	10	8
Gene974	1	10	10
Gene975	0.104521805746447	10	10
Gene976	0.168326285557433	10	6
Gene977	0.672530540552347	10	5
Gene978	0.312114707017632	10	9
Gene979	0.720296693464892	10	10
Gene980	0.838836895646273	10	10
Gene981	0.594524093292899	10	10
Gene982	0.479098832996633	10	8
Gene983	0.35819788055	10	9
Gene984	0.141934980248481	10	8
Gene985	0.727895124177384	10	8
Gene986	0.0726873870720646	10	10
Gene987	0.365788145517498	10	9
Gene988	0.262172386074003	10	8
Gene989	0.141854447122146	10	10
Gene990	0.688602912020652	10	10
Gene991	0.111792535755319	10	10
Gene992	0.193063648626503	10	5
Gene993	0.34205609996751	10	10
Gene994	0.360246640760848	10	9
Gene995	0.841646693997677	10	8
Gene996	0.520430990832372	10	8
Gene997	0.335463409161275	10	8
Gene998	0.365594881442586	10	9
Gene999	0.771165487232677	10	10
Gene1000	0.585789904858028	10	7
Gene1001	0.651372283631523	10	10
Gene1002	0.36507569341279	10	10
Gene1003	0.273070297562348	10	8
Gene1004	0.310829578099661	10	8
Gene1005	0.888310269562777	10	10
Gene1006	0.0905280360044309	10	8
Gene1007	0.312782383514846	10	9
Gene1008	0.377962190652775	10	10
Gene1009	0.622640093795818	10	8
Gene1010	0.271968739909942	10	9
Gene1011	0.398191935883659	10	10
Gene1012	0.341053265914878	10	7
Gene1013	0.261372227808972	10	9
Gene1014	0.429482643177679	10	10
Gene1015	1	10	5
Gene1016	0.585599933409712	10	5
Gene1017	0.337627579871832	10	10
Gene1018	0.118169897338632	10	9
Gene1019	0.142639150239961	10	5
Gene1020	0.213853938776141	10	8
Gene1021	0.0253121378034638	10	10
Gene1022	0.0885391510896782	10	10
Gene1023	0.350097566674195	10	8
Gene1024	1	10	10
Gene1025	0.729646764138533	10	10
Gene1026	0.206224886783195	10	9
Gene1027	0.808272414516748	10	7
Gene1028	0.816926274066722	10	10
Gene1029	0.250929780803596	10	9
Gene1030	0.266403506546629	10	10
Gene1031	0.633551165298863	10	10
Gene1032	0.256494169628167	10	10
Gene1033	0.532032320919544	10	10
Gene1034	0.75740984360462	10	4
Gene1035	0.275019132604975	10	8
Gene1036	0.777010360314622	10	9
Gene1037	0.333871348197483	10	7
Gene1038	0.124726935313808	10	8
Gene1039	0.684728215118503	10	9
Gene1040	0.308941280326399	10	8
Gene1041	1	10	10
Gene1042	0.264685292853411	10	9
Gene1043	0.655831560504893	10	10
Gene1044	0.259308843572391	10	10
Gene1045	0.0469257729968166	10	10
Gene1046	0.619694300830184	10	10
Gene1047	0.0250040267915586	10	10
Gene1048	0.197192837262294	10	6
Gene1049	1	10	8
Gene1050	0.311005629193004	10	4
Gene1051	0.659422619335043	10	9
Gene1052	0.737508187530195	10	5
Gene1053	0.870036089531092	10	6
Gene1054	0.104002117719716	10	1
Gene1055	0.844278041301499	10	9
Gene1056	0.834479942049481	10	9
Gene1057	0.207997023881892	10	9
Gene1058	0.530310330956541	10	7
Gene1059	0.710909134103587	10	7
Gene1060	0.741863535769907	10	10
Gene1061	0.20560800249618	10	10
Gene1062	0.888213298987527	10	10
Gene1063	0.342781196062287	10	9
Gene1064	0.454912090773112	10	6
Gene1065	0.264061024754268	10	9
Gene1066	0.217106340844497	10	8
Gene1067	1	10	6
Gene1068	0.74977919666816	10	10
Gene1069	0.675677188666169	10	10
Gene1070	0.659368843854716	10	9
Gene1071	0.217306428173945	10	10
Gene1072	0.521706674055732	10	9
Gene1073	1	10	10
Gene1074	0.122033852436898	10	10
Gene1075	0.165079304285426	10	8
Gene1076	0.815858277398394	10	8
Gene1077	0.294452129328609	10	9
Gene1078	0.456825475063547	10	9
Gene1079	0.187904573238	10	9
Gene1080	0.224527055596013	10	9
Gene1081	0.722171080125265	10	10
Gene1082	0.0808234466592227	10	10
Gene1083	0.432600689159343	10	10
Gene1084	0.580687279622139	10	8
Gene1085	0.671475873405708	10	10
Gene1086	0.762777372305596	10	10
Gene1087	0.838302827811368	10	10
Gene1088	0.00984510618190304	10	8
Gene1089	0.357475652242787	10	9
Gene1090	0.348320209539211	10	9
Gene1091	0.169922127485341	10	10
Gene1092	0.669026610223554	10	10
Gene1093	0.043430995378712	10	9
Gene1094	0.589574140762599	10	9
Gene1095	0.730739658071187	10	10
Gene1096	0.281621614149462	10	10
Gene1097	0.097106378129842	10	9
Gene1098	0.34396988674047	10	9
Gene1099	0.493692343861794	10	8
Gene1100	0.239177069374472	10	8
Gene1101	0.111903363870076	10	10
Gene1102	0.657147016910819	10	10
Gene1103	1	10	10
Gene1104	1	10	10
Gene1105	0.573150268879257	10	10
Gene1106	0.358134094308343	10	10
Gene1107	0.778582753588441	10	7
Gene1108	0.903878416917694	10	10
Gene1109	0.303862986960848	10	9
Gene1110	0.39817854152216	10	9
Gene1111	0.325683197960699	10	9
Gene1112	0.574716903249382	10	9
Gene1113	1	10	8
Gene1114	0.493860525304411	10	10
Gene1115	0.353850741865225	10	4
Gene1116	0.554388272074013	10	10
Gene1117	0.722176551726639	10	2
Gene1118	0.792462174091814	10	7
Gene1119	0.673010208671454	10	6
Gene1120	0.788182054789528	10	6
Gene1121	0.475434377920496	10	9
Gene1122	0.553618232929187	10	10
Gene1123	0.0338676536750687	10	8
Gene1124	1	10	10
Gene1125	0.146798304428479	10	7
Gene1126	0.57926144078688	10	8
Gene1127	0.883200618154652	10	8
Gene1128	0.410349601623318	10	10
Gene1129	0.0230801915396778	10	8
Gene1130	0.18836420672294	10	9
Gene1131	0.45175878490114	10	9
Gene1132	0.0276321217556486	10	8
Gene1133	0.742321821484257	10	8
Gene1134	0.220969486855308	10	7
Gene1135	0.325066873338328	10	10
Gene1136	0.664063123771471	10	10
Gene1137	0.757017917902288	10	9
Gene1138	0.12005339040038	10	9
Gene1139	0.706505072436634	10	10
Gene1140	0.656101325441732	10	10
Gene1141	1	10	9
Gene1142	0.553666522992577	10	10
Gene1143	0.225668017717425	10	6
Gene1144	0.210674215305247	10	9
Gene1145	0.0148025772387488	10	10
Gene1146	0.590266193592105	10	4
Gene1147	0.207911152494354	10	9
Gene1148	0.563693931124954	10	9
Gene1149	0.202691394360415	10	10
Gene1150	0.467076134955241	10	9
Gene1151	0.695999656396977	10	10
Gene1152	0.374927696095826	10	6
Gene1153	0.415974586595241	10	4
Gene1154	0.819602236834653	10	6
Gene1155	0.357251964821929	10	6
Gene1156	0.644602813137595	10	10
Gene1157	0.434103537804087	10	8
Gene1158	0.310741623989889	10	10
Gene1159	0.100430325213327	10	10
Gene1160	0.263071836548692	10	9
Gene1161	0.460562173070618	10	8
Gene1162	0.385593076575209	10	9
Gene1163	0.608497169130875	10	5
Gene1164	0.742706112636825	10	8
Gene1165	0.895782927732521	10	7
Gene1166	0.715398273483717	10	10
Gene1167	0.558240395370273	10	7
Gene1168	0.200110064910157	10	5
Gene1169	0.779278769666706	10	10
Gene1170	0.0100194770714529	10	8
Gene1171	0.27541736488607	10	10
Gene1172	0.335221397115687	10	9
Gene1173	0.412290960336525	10	10
Gene1174	0.72495307226164	10	10
Gene1175	0.291636331498381	10	10
Gene1176	0.539152581878209	10	10
Gene1177	0.264656878184498	10	10
Gene1178	0.248754437419002	10	10
Gene1179	0.7033002316775	10	9
Gene1180	0.485941488225451	10	9
Gene1181	0.348690744453605	10	7
Gene1182	0.0365958024314006	10	10
Gene1183	0.449964894198852	10	9
Gene1184	0.401477417698503	10	10
Gene1185	0.117328432754733	10	7
Gene1186	0.397870924269928	10	9
Gene1187	0.431083041633147	10	10
Gene1188	0.0398042942123082	10	8
Gene1189	0.867420560057723	10	9
Gene1190	0.123059956175632	10	7
Gene1191	1	10	8
Gene1192	0.227528016793817	10	6
Gene1193	0.325220899192387	10	6
Gene1194	0.0736370236081108	10	8
Gene1195	0.0530862917027927	10	8
Gene1196	0.561320781948191	10	9
Gene1197	0.414050380660171	10	6
Gene1198	0.0796208761985928	10	9
Gene1199	0.328945805849582	10	7
Gene1200	0.307251837459439	10	10
Gene1201	0.731569852229158	10	9
Gene1202	1	10	9
Gene1203	0.337557766610761	10	7
Gene1204	0.110106719840966	10	9
Gene1205	1	10	8
Gene1206	1	10	9
Gene1207	0.0288300302604864	10	9
Gene1208	0.655203338596724	10	10
Gene1209	0.388574356940278	10	9
Gene1210	0.142789227199782	10	10
Gene1211	0.235257211091745	10	10
Gene1212	0.293521139874153	10	9
Gene1213	0.356158194727895	10	6
Gene1214	0.0492236953002552	10	9
Gene1215	0.694793537189639	10	7
Gene1216	0.726885980231263	10	6
Gene1217	0.562112349140223	10	7
Gene1218	0.617461936765854	10	8
Gene1219	0.0938722437010989	10	7
Gene1220	0.888318759109504	10	10
Gene1221	0.481369136714458	10	8
Gene1222	0.403479690603248	10	10
Gene1223	0.760086010291661	10	6
Gene1224	0.05060727123611	10	6
Gene1225	0.839415831541944	10	10
Gene1226	0.597651682366873	10	10
Gene1227	0.781217161069832	10	10
Gene1228	0.0429305747710643	10	9
Gene1229	0.89562261808071	10	9
Gene1230	1	10	10
Gene1231	0.754629858141952	10	9
Gene1232	0.397276596128461	10	6
Gene1233	0.867930981900147	10	5
Gene1234	0.308841066853352	10	10
Gene1235	0.536050383814811	10	10
Gene1236	1	10	8
Gene1237	0.383584051758229	10	6
Gene1238	0.576229686490849	10	10
Gene1239	0.396747608137014	10	10
Gene1240	0.053751743537798	10	7
Gene1241	0.141615462602074	10	7
Gene1242	0.0337169683919081	10	9
Gene1243	0.200250868167293	10	5
Gene1244	0.212305090114756	10	10
Gene1245	0.542939801847334	10	8
Gene1246	0.119016186500254	10	8
Gene1247	0.642846415819214	10	7
Gene1248	0.530289573391926	10	10
Gene1249	0.436519588706945	10	9
Gene1250	0.727588423442999	10	7
Gene1251	0.341015894229052	10	9
Gene1252	0.549773384972055	10	10
Gene1253	0.205688933251299	10	7
Gene1254	0.363692502553094	10	10
Gene1255	0.149542090455983	10	9
Gene1256	0.176334951215689	10	5
Gene1257	0.501001872826329	10	8
Gene1258	1	10	10
Gene1259	0.171183928176808	10	9
Gene1260	1	10	10
Gene1261	0.774282506221599	10	7
Gene1262	0.882382230758389	10	7
Gene1263	0.0531337140762065	10	9
Gene1264	0.449833361511151	10	9
Gene1265	0.0466224302854247	10	8
Gene1266	0.154739421462756	10	10
Gene1267	0.492480725506943	10	8
Gene1268	0.24278793944545	10	8
Gene1269	0.113439932365385	10	7
Gene1270	0.0849238084318541	10	9
Gene1271	0.393888629047394	10	7
Gene1272	0.795827055954186	10	8
Gene1273	1	10	9
Gene1274	0.259144106624987	10	10
Gene1275	0.743311995427143	10	10
Gene1276	0.463072129927052	10	10
Gene1277	0.536900823836347	10	10
Gene1278	0.801622370141026	10	10
Gene1279	1	10	10
Gene1280	0.251695171421942	10	8
Gene1281	0.623927993297467	10	10
Gene1282	0.357220109389066	10	10
Gene1283	1	10	9
Gene1284	0.402738139500706	10	8
Gene1285	0.509621662814421	10	6
Gene1286	0.366829997130599	10	8
Gene1287	0.159626673119236	10	10
Gene1288	0.102632703598097	10	7
Gene1289	0.70984143751875	10	10
Gene1290	0.238420185832564	10	7
Gene1291	0.464725610728628	10	7
Gene1292	0.800340180805793	10	10
Gene1293	0.87475931781806	10	9
Gene1294	0.17286125850399	10	10
Gene1295	0.0190243170064491	10	9
Gene1296	0.801556618878738	10	10
Gene1297	0.365202353841144	10	10
Gene1298	0.117546268784707	10	5
Gene1299	0.288147567038578	10	5
Gene1300	0.23383384523092	10	9
Gene1301	0.843404093981241	10	9
Gene1302	0.404179623122135	10	10
Gene1303	0.149984698495173	10	10
Gene1304	0.530625726461646	10	8
Gene1305	0.655613321903551	10	10
Gene1306	0.250897879200899	10	10
Gene1307	0.696872894420612	10	6
Gene1308	0.571393705083936	10	10
Gene1309	0.721841333901605	10	9
Gene1310	0.560851035578047	10	10
Gene1311	0.0174919470701382	10	10
Gene1312	0.871315213108885	10	9
Gene1313	0.632494140853371	10	8
Gene1314	0.32233602290483	10	10
Gene1315	0.413439134846302	10	9
Gene1316	0.345271093044063	10	10
Gene1317	0.281568645290887	10	9
Gene1318	0.308666001539906	10	9
Gene1319	1	10	7
Gene1320	0.128636390453502	10	10
Gene1321	0.108810045985013	10	10
Gene1322	0.50236098001745	10	9
Gene1323	0.691908926429614	9	5
