SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	cases_cMAC	cases_cMAF	controls_cMAC	controls_cMAF	no_of_carriers	enrichment_ratio	P_regression	OR_noOfMutations	OR_L95	OR_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene956	0.195146873627879	10	5	14	5	ER	0.00910790954282333	13	0.006701	1	0.000485	5	13.816	0.243897632661302	2.22	0.58	8.49	0.798	0.684	1	1433000	1434000	non_coding	-	info956	info956	NA
Gene705	0.195623052945359	10	4	7	5	ER	0.00871306588088551	3	0.001546	4	0.001942	5	0.796	0.893428312601772	0.919	0.266	3.172	-0.085	0.632	1	1056500	1057500	protein_coding	+	info705	info705	NA
Gene461	0.195653955319614	10	8	18	13	ER	2.05392863393663e-05	13	0.006701	5	0.002427	13	2.761	0.126129722840549	2.056	0.816	5.178	0.721	0.471	1	690500	691500	protein_coding	+	info461	info461	NA
Gene294	0.197328271992081	10	9	23	12	ER.A	-1	5	0.002577	18	0.008738	12	0.295	0.164915987825482	0.611	0.304	1.225	-0.493	0.355	1	440000	441000	non_coding	-	info294	info294	NA
Gene66	0.197415880287263	10	4	14	10	ER	0.000322537904259678	7	0.003608	7	0.003398	10	1.062	0.9943920338346	0.997	0.412	2.411	-0.003	0.451	1	98000	99000	non_coding	-	info66	info66	NA
Gene1412	0.19827160186144	10	10	24	14	ER.A	-1	17	0.008763	7	0.003398	14	2.579	0.125045395648615	1.695	0.864	3.329	0.528	0.344	1	2117000	2118000	non_coding	-	info1412	info1412	NA
Gene528	0.200084280140451	10	8	29	15	ER.A	-1	8	0.004124	21	0.010194	15	0.405	0.154332556913072	0.669	0.385	1.163	-0.402	0.282	1	791000	792000	non_coding	-	info528	info528	NA
Gene499	0.201501380420312	10	10	22	15	ER.A	-1	11	0.00567	11	0.00534	15	1.062	0.750945470886292	1.114	0.573	2.167	0.108	0.34	1	747500	748500	protein_coding	+	info499	info499	NA
Gene544	0.202092562698717	10	8	24	14	ER.A	-1	7	0.003608	17	0.008252	14	0.437	0.139901387939439	0.603	0.308	1.18	-0.505	0.342	1	815000	816000	non_coding	-	info544	info544	NA
Gene270	0.202543797055503	10	7	21	14	ER.A	-1	15	0.007732	6	0.002913	14	2.654	0.126875799069785	1.837	0.841	4.01	0.608	0.398	1	404000	405000	non_coding	-	info270	info270	NA
Gene547	0.202893476263592	10	9	17	13	ER	1.42109613609029e-05	4	0.002062	13	0.006311	13	0.327	0.136672968581416	0.454	0.161	1.284	-0.789	0.53	1	819500	820500	protein_coding	+	info547	info547	NA
Gene1175	0.203069624688805	10	9	12	6	ER	0.00372008826206858	1	0.000515	11	0.00534	6	0.096	0.212907323423796	0.317	0.052	1.934	-1.15	0.923	1	1761500	1762500	protein_coding	+	info1175	info1175	NA
Gene662	0.204043278668882	10	7	11	6	ER	0.00307098512456564	2	0.001031	9	0.004369	6	0.236	0.39706334835722	0.591	0.175	1.997	-0.526	0.621	1	992000	993000	non_coding	-	info662	info662	NA
Gene482	0.204636068322457	10	10	26	11	ER.A	-1	14	0.007216	12	0.005825	11	1.239	0.655738234029508	1.121	0.678	1.855	0.114	0.257	1	722000	723000	non_coding	-	info482	info482	NA
Gene666	0.204785736535835	10	9	17	16	ER	1.39704722784187e-06	8	0.004124	9	0.004369	16	0.944	0.646246602434947	0.797	0.303	2.097	-0.226	0.493	1	998000	999000	non_coding	-	info666	info666	NA
Gene1120	0.20532329357986	10	3	8	8	ER	0.000597535066445365	4	0.002062	4	0.001942	8	1.062	0.756777806829471	1.256	0.296	5.326	0.228	0.737	1	1679000	1680000	non_coding	-	info1120	info1120	NA
Gene502	0.206450922677341	10	9	27	16	ER.A	-1	17	0.008763	10	0.004854	16	1.805	0.232489352247979	1.417	0.799	2.513	0.349	0.292	1	752000	753000	non_coding	-	info502	info502	NA
Gene966	0.207512049990682	10	10	29	16	ER.A	-1	10	0.005155	19	0.009223	16	0.559	0.324731821658419	0.769	0.455	1.298	-0.263	0.267	1	1448000	1449000	non_coding	-	info966	info966	NA
Gene952	0.207688269605664	10	6	13	8	ER	0.000803465645779411	3	0.001546	10	0.004854	8	0.319	0.136221423645568	0.45	0.157	1.286	-0.798	0.536	1	1427000	1428000	non_coding	-	info952	info952	NA
Gene1097	0.209175432386987	10	9	33	15	ER.A	-1	10	0.005155	23	0.011165	15	0.462	0.300336389739474	0.775	0.479	1.255	-0.254	0.246	1	1644500	1645500	protein_coding	+	info1097	info1097	NA
Gene1224	0.212455219699629	10	10	26	9	ER.A	-1	7	0.003608	19	0.009223	9	0.391	0.184050690624247	0.711	0.43	1.176	-0.341	0.257	1	1835000	1836000	non_coding	-	info1224	info1224	NA
Gene467	0.213203098431675	10	7	9	6	ER	0.00232588925418721	1	0.000515	8	0.003883	6	0.133	0.247085386279235	0.305	0.041	2.28	-1.189	1.027	1	699500	700500	protein_coding	+	info467	info467	NA
Gene126	0.213929209052931	10	6	12	4	ER	0.0150906777853704	11	0.00567	1	0.000485	4	11.691	0.334033050150081	2.412	0.404	14.389	0.88	0.911	1	188000	189000	non_coding	-	info126	info126	NA
Gene1310	0.21430073531272	10	6	18	10	ER	0.000246219959562553	11	0.00567	7	0.003398	10	1.669	0.48000688293304	1.263	0.661	2.413	0.233	0.33	1	1964000	1965000	non_coding	-	info1310	info1310	NA
Gene743	0.215350357054911	10	8	20	14	ER	7.98350432735433e-06	14	0.007216	6	0.002913	14	2.477	0.130720082283396	1.885	0.828	4.29	0.634	0.42	1	1113500	1114500	protein_coding	+	info743	info743	NA
Gene362	0.215630773800173	10	5	6	4	ER	0.0257485513939176	2	0.001031	4	0.001942	4	0.531	0.459331423577283	0.598	0.153	2.334	-0.514	0.695	1	542000	543000	non_coding	-	info362	info362	NA
Gene728	0.21570466207066	10	10	28	13	ER.A	-1	21	0.010825	7	0.003398	13	3.186	0.165380865296597	1.5	0.846	2.661	0.406	0.292	1	1091000	1092000	non_coding	-	info728	info728	NA
Gene1139	0.216327668810756	10	7	17	12	ER	6.86512528254698e-05	12	0.006186	5	0.002427	12	2.549	0.167948620566699	1.826	0.776	4.297	0.602	0.437	1	1707500	1708500	protein_coding	+	info1139	info1139	NA
Gene1191	0.216362921508783	10	9	18	12	ER	8.76824066082229e-05	5	0.002577	13	0.006311	12	0.408	0.205456242617495	0.58	0.249	1.348	-0.545	0.431	1	1785500	1786500	protein_coding	+	info1191	info1191	NA
Gene969	0.217204111864078	10	10	34	18	ER.A	-1	17	0.008763	17	0.008252	18	1.062	0.840356207603351	0.952	0.593	1.53	-0.049	0.242	1	1452500	1453500	protein_coding	+	info969	info969	NA
Gene485	0.218878960104467	10	6	21	13	ER.A	-1	15	0.007732	6	0.002913	13	2.654	0.133794280656764	1.787	0.837	3.817	0.581	0.387	1	726500	727500	protein_coding	+	info485	info485	NA
Gene243	0.220079014325549	10	10	24	14	ER.A	-1	6	0.003093	18	0.008738	14	0.354	0.186468904983838	0.646	0.338	1.235	-0.436	0.33	1	363500	364500	protein_coding	+	info243	info243	NA
Gene589	0.222710110008198	10	7	13	8	ER	0.000946274931696153	8	0.004124	5	0.002427	8	1.699	0.610419517954048	1.241	0.541	2.849	0.216	0.424	1	882500	883500	protein_coding	+	info589	info589	NA
Gene1414	0.225465943599525	10	4	7	7	ER	0.00212854688838645	2	0.001031	5	0.002427	7	0.425	0.197308971571978	0.325	0.059	1.794	-1.123	0.871	1	2120000	2121000	non_coding	-	info1414	info1414	NA
Gene714	0.225839732689037	10	6	20	12	ER	3.03028693153276e-05	14	0.007216	6	0.002913	12	2.477	0.166208440128299	1.672	0.808	3.463	0.514	0.371	1	1070000	1071000	non_coding	-	info714	info714	NA
Gene684	0.226832226968168	10	6	8	7	ER	0.00238741946766108	4	0.002062	4	0.001942	7	1.062	0.86684098154449	1.116	0.31	4.02	0.11	0.654	1	1025000	1026000	non_coding	-	info684	info684	NA
Gene1155	0.227149654861014	10	7	20	16	ER	3.72267007710436e-06	14	0.007216	6	0.002913	16	2.477	0.166307194757188	1.897	0.766	4.694	0.64	0.462	1	1731500	1732500	protein_coding	+	info1155	info1155	NA
Gene894	0.22748197560901	10	10	30	12	ER.A	-1	16	0.008247	14	0.006796	12	1.214	0.720178311197521	1.077	0.717	1.617	0.074	0.207	1	1340000	1341000	non_coding	-	info894	info894	NA
Gene959	0.227728846794175	10	9	20	16	ER	1.70302234998593e-06	10	0.005155	10	0.004854	16	1.062	0.881589768322449	1.059	0.495	2.266	0.058	0.388	1	1437500	1438500	protein_coding	+	info959	info959	NA
Gene228	0.231760671132263	10	10	27	15	ER.A	-1	14	0.007216	13	0.006311	15	1.143	0.625075129067949	1.129	0.694	1.837	0.121	0.248	1	341000	342000	non_coding	-	info228	info228	NA
Gene300	0.233404864048295	10	7	13	7	ER	0.00234410992741884	10	0.005155	3	0.001456	7	3.541	0.194375561386138	1.881	0.724	4.884	0.632	0.487	1	449000	450000	non_coding	-	info300	info300	NA
Gene734	0.234129917506269	10	10	31	16	ER.A	-1	9	0.004639	22	0.01068	16	0.434	0.153889580317387	0.66	0.373	1.168	-0.415	0.291	1	1100000	1101000	non_coding	-	info734	info734	NA
Gene550	0.236192701922951	10	6	14	14	ER	1.24350531023759e-05	7	0.003608	7	0.003398	14	1.062	0.961395846820715	1.028	0.337	3.137	0.028	0.569	1	824000	825000	non_coding	-	info550	info550	NA
Gene1216	0.236368265191134	10	7	13	9	ER	0.000603068143181653	3	0.001546	10	0.004854	9	0.319	0.198934936704993	0.47	0.149	1.487	-0.755	0.588	1	1823000	1824000	non_coding	-	info1216	info1216	NA
Gene1002	0.236591143227764	10	8	24	15	ER.A	-1	16	0.008247	8	0.003883	15	2.124	0.209300382561686	1.553	0.781	3.088	0.44	0.351	1	1502000	1503000	non_coding	-	info1002	info1002	NA
Gene477	0.23716058039788	10	6	16	12	ER	4.35139504704313e-05	8	0.004124	8	0.003883	12	1.062	0.967290374724896	1.018	0.441	2.35	0.018	0.427	1	714500	715500	protein_coding	+	info477	info477	NA
Gene736	0.237654505135234	10	7	16	10	ER	0.000165723322319466	8	0.004124	8	0.003883	10	1.062	0.794636974570043	0.908	0.437	1.884	-0.097	0.373	1	1103000	1104000	non_coding	-	info736	info736	NA
Gene251	0.238080697594861	10	8	22	13	ER.A	-1	5	0.002577	17	0.008252	13	0.312	0.185755910036183	0.605	0.288	1.273	-0.502	0.379	1	375500	376500	protein_coding	+	info251	info251	NA
Gene648	0.238914925549815	10	6	12	9	ER	0.000309242930076273	6	0.003093	6	0.002913	9	1.062	0.755198194312551	0.856	0.323	2.268	-0.155	0.497	1	971000	972000	non_coding	-	info648	info648	NA
Gene295	0.239065106358168	10	10	19	14	ER	4.14381213994724e-06	4	0.002062	15	0.007282	14	0.283	0.158167426204923	0.462	0.158	1.35	-0.771	0.547	1	441500	442500	protein_coding	+	info295	info295	NA
Gene1325	0.239737219783624	10	8	17	12	ER	5.76245627234794e-05	8	0.004124	9	0.004369	12	0.944	0.831700888833674	0.921	0.431	1.966	-0.082	0.387	1	1986500	1987500	protein_coding	+	info1325	info1325	NA
Gene1303	0.240559374002517	10	4	6	5	ER	0.00861737297127005	4	0.002062	2	0.000971	5	2.124	0.360481188157056	2.048	0.441	9.515	0.717	0.784	1	1953500	1954500	protein_coding	+	info1303	info1303	NA
Gene553	0.240809720692356	10	9	22	15	ER.A	-1	11	0.00567	11	0.00534	15	1.062	0.864740052922394	1.063	0.529	2.136	0.061	0.356	1	828500	829500	protein_coding	+	info553	info553	NA
Gene530	0.241314450205295	10	8	23	16	ER.A	-1	15	0.007732	8	0.003883	16	1.991	0.241455689657253	1.526	0.752	3.096	0.423	0.361	1	794000	795000	non_coding	-	info530	info530	NA
Gene861	0.241418422935386	10	8	19	12	ER	6.11346438367554e-05	6	0.003093	13	0.006311	12	0.49	0.172791739621134	0.582	0.267	1.268	-0.542	0.398	1	1290500	1291500	protein_coding	+	info861	info861	NA
Gene1045	0.24151080576067	10	9	28	13	ER.A	-1	20	0.010309	8	0.003883	13	2.655	0.253630214056718	1.354	0.805	2.279	0.303	0.266	1	1566500	1567500	protein_coding	+	info1045	info1045	NA
Gene1227	0.24186417923452	10	9	19	14	ER	1.91346135735411e-05	8	0.004124	11	0.00534	14	0.772	0.620779251134034	0.824	0.383	1.773	-0.193	0.391	1	1839500	1840500	protein_coding	+	info1227	info1227	NA
Gene1198	0.242601795617076	10	10	26	14	ER.A	-1	7	0.003608	19	0.009223	14	0.391	0.131561022254623	0.598	0.307	1.166	-0.514	0.341	1	1796000	1797000	non_coding	-	info1198	info1198	NA
Gene907	0.242978775000975	10	3	5	4	ER	0.0126922533261575	0	0	5	0.002427	4	0	0.98693908888952	0	0	Inf	-15.539	949.245	1	1359500	1360500	protein_coding	+	info907	info907	NA
Gene1214	0.243949127249176	10	9	18	6	ER	0.00263529250641109	14	0.007216	4	0.001942	6	3.716	0.291804025149375	1.403	0.747	2.635	0.339	0.321	1	1820000	1821000	non_coding	-	info1214	info1214	NA
Gene144	0.245873659003916	10	6	13	7	ER	0.00160383657744906	2	0.001031	11	0.00534	7	0.193	0.165215388447719	0.437	0.136	1.406	-0.827	0.596	1	215000	216000	non_coding	-	info144	info144	NA
Gene1171	0.247609008708543	10	7	15	10	ER	0.000268204199308467	4	0.002062	11	0.00534	10	0.386	0.193505817819814	0.536	0.209	1.373	-0.624	0.48	1	1755500	1756500	protein_coding	+	info1171	info1171	NA
Gene217	0.250251983431074	10	7	11	6	ER	0.00410093351418646	5	0.002577	6	0.002913	6	0.885	0.983658519993965	0.992	0.454	2.166	-0.008	0.399	1	324500	325500	protein_coding	+	info217	info217	NA
Gene464	0.250343244261412	10	8	22	13	ER.A	-1	6	0.003093	16	0.007767	13	0.398	0.209416819673759	0.636	0.314	1.289	-0.453	0.361	1	695000	696000	non_coding	-	info464	info464	NA
Gene1143	0.250557008445029	10	6	10	5	ER	0.0110154695455608	8	0.004124	2	0.000971	5	4.247	0.193475891438895	2.127	0.682	6.634	0.755	0.58	1	1713500	1714500	protein_coding	+	info1143	info1143	NA
Gene951	0.251854698249741	10	10	20	17	ER	7.68726296371018e-07	14	0.007216	6	0.002913	17	2.477	0.116267130361261	2.179	0.824	5.758	0.779	0.496	1	1425500	1426500	protein_coding	+	info951	info951	NA
Gene1372	0.252029124004797	10	9	27	20	ER.A	-1	12	0.006186	15	0.007282	20	0.849	0.55479500148136	0.821	0.427	1.58	-0.197	0.334	1	2057000	2058000	non_coding	-	info1372	info1372	NA
Gene931	0.252078957354173	10	9	18	13	ER	1.16754660148505e-05	5	0.002577	13	0.006311	13	0.408	0.251482278629627	0.597	0.247	1.442	-0.516	0.45	1	1395500	1396500	protein_coding	+	info931	info931	NA
Gene308	0.253301615287486	10	6	17	13	ER	1.17060863987384e-05	11	0.00567	6	0.002913	13	1.946	0.157571809102805	1.863	0.786	4.415	0.622	0.44	1	461000	462000	non_coding	-	info308	info308	NA
Gene1173	0.25335839620299	10	8	17	10	ER	0.000203959639084795	7	0.003608	10	0.004854	10	0.743	0.754353524496817	0.895	0.447	1.792	-0.111	0.354	1	1758500	1759500	protein_coding	+	info1173	info1173	NA
Gene930	0.2537353673066	10	8	26	15	ER.A	-1	18	0.009278	8	0.003883	15	2.389	0.202362131312446	1.456	0.817	2.593	0.375	0.295	1	1394000	1395000	non_coding	-	info930	info930	NA
Gene757	0.254697288200579	10	8	10	5	ER	0.00697583905882531	8	0.004124	2	0.000971	5	4.247	0.26071381025247	1.972	0.604	6.438	0.679	0.604	1	1134500	1135500	protein_coding	+	info757	info757	NA
Gene315	0.255436282777307	10	8	16	13	ER	2.82833264020179e-05	5	0.002577	11	0.00534	13	0.483	0.229424679107746	0.555	0.212	1.45	-0.589	0.49	1	471500	472500	protein_coding	+	info315	info315	NA
Gene266	0.255635324352111	10	7	16	11	ER	0.000177817825808178	11	0.00567	5	0.002427	11	2.336	0.269342272201712	1.613	0.691	3.767	0.478	0.433	1	398000	399000	non_coding	-	info266	info266	NA
Gene552	0.256056939790676	10	8	21	12	ER.A	-1	11	0.00567	10	0.004854	12	1.168	0.976696536942088	0.991	0.543	1.81	-0.009	0.307	1	827000	828000	non_coding	-	info552	info552	NA
Gene1005	0.256180636866901	10	7	20	17	ER	1.17110898815698e-06	11	0.00567	9	0.004369	17	1.298	0.641142225618574	1.205	0.551	2.636	0.186	0.4	1	1506500	1507500	protein_coding	+	info1005	info1005	NA
Gene1099	0.257370221119934	10	10	35	18	ER.A	-1	12	0.006186	23	0.011165	18	0.554	0.197993647730235	0.746	0.477	1.166	-0.293	0.228	1	1647500	1648500	protein_coding	+	info1099	info1099	NA
Gene535	0.25755873124468	10	10	31	20	ER.A	-1	16	0.008247	15	0.007282	20	1.133	0.846196629978478	1.056	0.607	1.838	0.055	0.283	1	801500	802500	protein_coding	+	info535	info535	NA
Gene148	0.257968645797218	10	8	19	17	ER	8.85384495526809e-07	9	0.004639	10	0.004854	17	0.956	0.679823862863133	0.832	0.348	1.99	-0.184	0.445	1	221000	222000	non_coding	-	info148	info148	NA
Gene187	0.258542986198794	10	6	9	7	ER	0.00288815372896817	2	0.001031	7	0.003398	7	0.303	0.172364604932238	0.371	0.089	1.541	-0.991	0.726	1	279500	280500	protein_coding	+	info187	info187	NA
Gene319	0.260652667965418	10	10	30	19	ER.A	-1	10	0.005155	20	0.009709	19	0.531	0.183399205253502	0.677	0.381	1.203	-0.39	0.293	1	477500	478500	protein_coding	+	info319	info319	NA
Gene1152	0.26083272069854	10	7	11	6	ER	0.00846236521844439	9	0.004639	2	0.000971	6	4.778	0.234877746036739	2.189	0.601	7.973	0.783	0.66	1	1727000	1728000	non_coding	-	info1152	info1152	NA
Gene1315	0.262318453912187	10	8	23	11	ER.A	-1	10	0.005155	13	0.006311	11	0.817	0.878902831754245	0.959	0.558	1.646	-0.042	0.276	1	1971500	1972500	protein_coding	+	info1315	info1315	NA
Gene1329	0.262590596752593	10	10	20	14	ER	4.26003602967116e-06	5	0.002577	15	0.007282	14	0.354	0.173516578550708	0.548	0.23	1.303	-0.602	0.442	1	1992500	1993500	protein_coding	+	info1329	info1329	NA
Gene927	0.262773814502735	10	9	26	12	ER.A	-1	18	0.009278	8	0.003883	12	2.389	0.167973873749211	1.511	0.84	2.718	0.413	0.3	1	1389500	1390500	protein_coding	+	info927	info927	NA
Gene1033	0.263393876835984	10	10	24	19	ER.A	-1	10	0.005155	14	0.006796	19	0.759	0.474534881288013	0.782	0.399	1.533	-0.245	0.343	1	1548500	1549500	protein_coding	+	info1033	info1033	NA
Gene6	0.263957990337473	10	4	10	6	ER	0.004273348294751	7	0.003608	3	0.001456	6	2.478	0.256340188245162	1.83	0.645	5.193	0.604	0.532	1	8000	9000	non_coding	-	info6	info6	NA
Gene439	0.264072163740906	10	9	16	11	ER	0.000115542813208294	12	0.006186	4	0.001942	11	3.185	0.165073016092709	1.967	0.757	5.115	0.677	0.487	1	657500	658500	protein_coding	+	info439	info439	NA
Gene903	0.264750161130426	10	10	24	17	ER.A	-1	7	0.003608	17	0.008252	17	0.437	0.160611098446501	0.59	0.282	1.233	-0.528	0.376	1	1353500	1354500	protein_coding	+	info903	info903	NA
Gene184	0.264769979254066	10	8	17	10	ER	0.000326748914675248	4	0.002062	13	0.006311	10	0.327	0.18411221295908	0.535	0.213	1.346	-0.625	0.471	1	275000	276000	non_coding	-	info184	info184	NA
Gene134	0.265987535945876	10	9	21	14	ER.A	-1	15	0.007732	6	0.002913	14	2.654	0.161662996177454	1.747	0.8	3.814	0.558	0.398	1	200000	201000	non_coding	-	info134	info134	NA
Gene1065	0.266240978288107	10	10	25	20	ER.A	-1	17	0.008763	8	0.003883	20	2.257	0.159155799849524	1.745	0.804	3.789	0.557	0.396	1	1596500	1597500	protein_coding	+	info1065	info1065	NA
Gene116	0.266855541005185	10	8	21	20	ER.A	-1	7	0.003608	14	0.006796	20	0.531	0.131808903407339	0.491	0.194	1.239	-0.712	0.473	1	173000	174000	non_coding	-	info116	info116	NA
Gene168	0.266970371593208	10	8	26	24	ER.A	-1	16	0.008247	10	0.004854	24	1.699	0.173484245566705	1.736	0.785	3.839	0.551	0.405	1	251000	252000	non_coding	-	info168	info168	NA
Gene101	0.267471913977668	10	8	15	13	ER	2.18314645088827e-05	10	0.005155	5	0.002427	13	2.124	0.220029251509941	1.931	0.675	5.526	0.658	0.536	1	150500	151500	protein_coding	+	info101	info101	NA
Gene70	0.268983898008456	10	10	24	15	ER.A	-1	16	0.008247	8	0.003883	15	2.124	0.167033597817956	1.59	0.824	3.067	0.463	0.335	1	104000	105000	non_coding	-	info70	info70	NA
Gene83	0.269673283878232	10	8	20	11	ER	0.000113306823384857	5	0.002577	15	0.007282	11	0.354	0.20869321461609	0.617	0.29	1.31	-0.484	0.385	1	123500	124500	protein_coding	+	info83	info83	NA
Gene1415	0.269769247715403	10	6	16	13	ER	3.44904729170872e-05	5	0.002577	11	0.00534	13	0.483	0.193891691030639	0.525	0.199	1.388	-0.644	0.496	1	2121500	2122500	protein_coding	+	info1415	info1415	NA
Gene19	0.27257113385908	10	6	11	9	ER	0.00028141634598079	5	0.002577	6	0.002913	9	0.885	0.965526269635622	0.977	0.341	2.799	-0.023	0.537	1	27500	28500	protein_coding	+	info19	info19	NA
Gene229	0.272654605214514	10	2	6	6	ER	0.00370294368174723	3	0.001546	3	0.001456	6	1.062	0.8168638695896	1.218	0.229	6.489	0.198	0.853	1	342500	343500	protein_coding	+	info229	info229	NA
Gene352	0.272809613948835	10	10	24	18	ER.A	-1	7	0.003608	17	0.008252	18	0.437	0.169022211685662	0.583	0.271	1.257	-0.539	0.392	1	527000	528000	non_coding	-	info352	info352	NA
Gene985	0.272843758654854	10	10	34	13	ER.A	-1	10	0.005155	24	0.01165	13	0.442	0.188943654996482	0.737	0.468	1.162	-0.305	0.232	1	1476500	1477500	protein_coding	+	info985	info985	NA
Gene521	0.274057163048743	10	10	17	9	ER	0.000438770350442748	4	0.002062	13	0.006311	9	0.327	0.282977778749416	0.616	0.255	1.491	-0.484	0.451	1	780500	781500	protein_coding	+	info521	info521	NA
Gene943	0.27666101266478	10	9	27	19	ER.A	-1	18	0.009278	9	0.004369	19	2.124	0.165259356852532	1.609	0.822	3.148	0.475	0.343	1	1413500	1414500	protein_coding	+	info943	info943	NA
Gene781	0.277962454528987	10	9	31	22	ER.A	-1	12	0.006186	19	0.009223	22	0.671	0.373886972977904	0.752	0.402	1.409	-0.285	0.32	1	1170500	1171500	protein_coding	+	info781	info781	NA
Gene486	0.278757921026666	10	7	25	20	ER.A	-1	13	0.006701	12	0.005825	20	1.15	0.967703808281845	1.014	0.507	2.029	0.014	0.354	1	728000	729000	non_coding	-	info486	info486	NA
Gene556	0.280534647890277	10	9	32	12	ER.A	-1	9	0.004639	23	0.011165	12	0.415	0.179328792553788	0.73	0.461	1.156	-0.315	0.234	1	833000	834000	non_coding	-	info556	info556	NA
Gene526	0.281156885584955	10	9	23	15	ER.A	-1	7	0.003608	16	0.007767	15	0.465	0.259091463313483	0.675	0.341	1.336	-0.393	0.348	1	788000	789000	non_coding	-	info526	info526	NA
Gene910	0.281633658832296	10	9	24	18	ER.A	-1	7	0.003608	17	0.008252	18	0.437	0.18871722781868	0.587	0.265	1.299	-0.533	0.405	1	1364000	1365000	non_coding	-	info910	info910	NA
Gene241	0.282913131347712	10	8	13	7	ER	0.00200241649257114	5	0.002577	8	0.003883	7	0.664	0.567376231081199	0.811	0.395	1.665	-0.21	0.367	1	360500	361500	protein_coding	+	info241	info241	NA
Gene667	0.284173101020245	10	8	19	10	ER	0.00029445339259297	12	0.006186	7	0.003398	10	1.82	0.441793328342328	1.316	0.653	2.652	0.275	0.357	1	999500	1000500	protein_coding	+	info667	info667	NA
Gene842	0.284489360065693	10	5	12	11	ER	0.000102689522405032	8	0.004124	4	0.001942	11	2.124	0.223194116634235	2.088	0.639	6.824	0.736	0.604	1	1262000	1263000	non_coding	-	info842	info842	NA
Gene1422	0.284924927829939	10	5	16	9	ER	0.000225400108216613	6	0.003093	10	0.004854	9	0.637	0.662498625413819	0.842	0.388	1.825	-0.172	0.395	1	2132000	2133000	non_coding	-	info1422	info1422	NA
Gene226	0.284986184005731	10	8	17	6	ER	0.00594464299540671	15	0.007732	2	0.000971	6	7.963	0.316876978853853	1.795	0.571	5.647	0.585	0.585	1	338000	339000	non_coding	-	info226	info226	NA
Gene524	0.28664608792422	10	9	23	16	ER.A	-1	10	0.005155	13	0.006311	16	0.817	0.729908229338026	0.885	0.442	1.772	-0.122	0.354	1	785000	786000	non_coding	-	info524	info524	NA
Gene157	0.287491040405943	10	2	2	2	ER	0.0876761830985696	2	0.001031	0	0	2	Inf	0.987525665505847	6533564.257	0	Inf	15.692	1003.682	1	234500	235500	protein_coding	+	info157	info157	NA
Gene1308	0.287652243033767	10	9	26	12	ER.A	-1	6	0.003093	20	0.009709	12	0.319	0.176774395096209	0.655	0.354	1.211	-0.424	0.314	1	1961000	1962000	non_coding	-	info1308	info1308	NA
Gene818	0.287694439478195	10	9	16	8	ER	0.00178362989754347	13	0.006701	3	0.001456	8	4.602	0.237438425553886	1.915	0.652	5.624	0.649	0.55	1	1226000	1227000	non_coding	-	info818	info818	NA
Gene618	0.288269495877503	10	7	13	9	ER	0.000330699337857894	3	0.001546	10	0.004854	9	0.319	0.221855326800673	0.509	0.172	1.504	-0.676	0.553	1	926000	927000	non_coding	-	info618	info618	NA
Gene881	0.289356021320195	10	10	29	17	ER.A	-1	12	0.006186	17	0.008252	17	0.75	0.407359087385781	0.806	0.485	1.342	-0.215	0.26	1	1320500	1321500	protein_coding	+	info881	info881	NA
Gene273	0.290086396619892	10	10	17	9	ER	0.000898252168901695	4	0.002062	13	0.006311	9	0.327	0.181413715131204	0.574	0.254	1.296	-0.555	0.416	1	408500	409500	protein_coding	+	info273	info273	NA
Gene647	0.290667283262119	10	8	16	12	ER	3.24626437705497e-05	7	0.003608	9	0.004369	12	0.826	0.771985752903517	0.887	0.395	1.991	-0.12	0.412	1	969500	970500	protein_coding	+	info647	info647	NA
Gene1344	0.291131122363834	10	9	21	16	ER.A	-1	11	0.00567	10	0.004854	16	1.168	0.664017358738622	1.179	0.561	2.476	0.164	0.379	1	2015000	2016000	non_coding	-	info1344	info1344	NA
Gene1290	0.291421705980105	10	5	10	7	ER	0.00230031463167351	2	0.001031	8	0.003883	7	0.266	0.189399898825543	0.404	0.104	1.564	-0.906	0.69	1	1934000	1935000	non_coding	-	info1290	info1290	NA
Gene722	0.291487104539783	10	10	24	14	ER.A	-1	8	0.004124	16	0.007767	14	0.531	0.354922418858256	0.741	0.392	1.399	-0.3	0.324	1	1082000	1083000	non_coding	-	info722	info722	NA
Gene1217	0.292571984313281	10	7	15	11	ER	4.70304325009246e-05	5	0.002577	10	0.004854	11	0.531	0.468668413211582	0.716	0.29	1.769	-0.335	0.462	1	1824500	1825500	protein_coding	+	info1217	info1217	NA
Gene1008	0.293766347923573	10	9	19	10	ER	0.000238552264173453	5	0.002577	14	0.006796	10	0.379	0.202599144155999	0.612	0.288	1.302	-0.49	0.385	1	1511000	1512000	non_coding	-	info1008	info1008	NA
Gene774	0.29425113347923	10	6	14	10	ER	0.000353903196965371	7	0.003608	7	0.003398	10	1.062	0.919971356406353	1.046	0.439	2.491	0.045	0.443	1	1160000	1161000	non_coding	-	info774	info774	NA
Gene286	0.294641511118719	10	7	23	17	ER.A	-1	12	0.006186	11	0.00534	17	1.158	0.769676095731863	1.105	0.566	2.158	0.1	0.341	1	428000	429000	non_coding	-	info286	info286	NA
